Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,nivel_geografico,65_mas_numerador,65_mas_denominador,65_mas_cobertura_pct
2024,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,comuna,704,1033.0,68.15101645692158
2024,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,comuna,807,517.0,156.09284332688588
2024,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,comuna,853,2300.0,37.086956521739125
2024,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,comuna,415,1866.0,22.240085744908896
2024,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,comuna,3076,7950.0,38.69182389937107
2024,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,comuna,1828,4248.0,43.03201506591337
2024,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,comuna,1940,4582.0,42.33958969882147
2024,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,comuna,3159,6799.0,46.46271510516252
2024,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,comuna,4726,11184.0,42.25679542203147
2024,11,Servicio de Salud Metropolitano Central,13101,Santiago,comuna,13656,35576.0,38.385428378682256
2024,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,comuna,3644,8517.0,42.785018198896324
2024,11,Servicio de Salud Metropolitano Central,13106,Estación Central,comuna,4216,11938.0,35.31579829117105
2024,11,Servicio de Salud Metropolitano Central,13119,Maipú,comuna,21322,50470.0,42.246879334257976
2024,12,Servicio de Salud Metropolitano Oriente,13113,La Reina,comuna,4577,9194.0,49.782466826191
2024,12,Servicio de Salud Metropolitano Oriente,13114,Las Condes,comuna,9416,22198.0,42.41823587710605
2024,12,Servicio de Salud Metropolitano Oriente,13115,Lo Barnechea,comuna,2933,6040.0,48.55960264900662
2024,12,Servicio de Salud Metropolitano Oriente,13118,Macul,comuna,9406,21557.0,43.63315860277404
2024,12,Servicio de Salud Metropolitano Oriente,13120,Ñuñoa,comuna,9052,22371.0,40.46309954852264
2024,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,comuna,14697,28998.0,50.68280571073868
2024,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,comuna,7967,17901.0,44.505893525501364
2024,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,comuna,2461,5228.0,47.0734506503443
2024,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,comuna,11664,23846.0,48.91386396041265
2024,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,comuna,6079,12489.0,48.67483385379134
2024,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,comuna,4590,13685.0,33.54037267080746
2024,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,comuna,8594,18010.0,47.71793448084398
2024,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,comuna,7318,15414.0,47.476320228363825
2024,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,comuna,7663,15910.0,48.16467630421119
2024,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,comuna,11930,30979.0,38.50995835888828
2024,13,Servicio de Salud Metropolitano Sur,13402,Buin,comuna,5811,11106.0,52.32306861156132
2024,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,comuna,1039,2634.0,39.4457099468489
2024,13,Servicio de Salud Metropolitano Sur,13404,Paine,comuna,3894,8788.0,44.310423304506145
2024,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,comuna,21678,59104.0,36.67772062804548
2024,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,comuna,7108,19918.0,35.68631388693644
2024,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,comuna,8606,20053.0,42.91627187951927
2024,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,comuna,5212,12640.0,41.234177215189874
2024,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,comuna,16368,54636.0,29.95826927300681
2024,14,Servicio de Salud Metropolitano Sur Oriente,13202,Pirque,comuna,1599,3629.0,44.06172499311105
2024,14,Servicio de Salud Metropolitano Sur Oriente,13203,San José de Maipo,comuna,125,344.0,36.337209302325576
2024,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,comuna,9908,19559.0,50.65698655350478
2024,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,comuna,5315,10284.0,51.68222481524699
2024,9,Servicio de Salud Metropolitano Norte,13108,Independencia,comuna,3796,12356.0,30.72191647782454
2024,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,comuna,6363,15928.0,39.948518332496235
2024,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,comuna,7330,19746.0,37.12144231743138
2024,9,Servicio de Salud Metropolitano Norte,13301,Colina,comuna,4763,10845.0,43.91885661595205
2024,9,Servicio de Salud Metropolitano Norte,13302,Lampa,comuna,3642,7211.0,50.506171127444176
2024,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,comuna,599,2043.0,29.319627998042098
2025,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,comuna,7490,17347.0,43.177494667665876
2025,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,comuna,8763,20901.0,41.926223625663845
2025,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,comuna,14275,28691.0,49.75427834512565
