Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,categoria_estado_nutricional,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Normal,1367,571,796,0,115,105,68,63,52,29,34,29,35,837,0,57,41,28,20,20,10,12,11,12,211,360,0,58,64,40,43,32,19,22,18,23,319,477,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Obesidad,1300,379,921,0,76,126,123,103,91,72,59,41,27,582,0,15,34,33,27,26,20,21,18,5,199,180,0,61,92,90,76,65,52,38,23,22,519,402,0.0,0.0
2023,13,9,13104,109314,,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1370,519,851,0,86,112,98,104,82,84,61,66,63,614,0,33,40,39,38,27,22,28,35,38,300,219,0,53,72,59,66,55,62,33,31,25,456,395,0.0,0.0
2023,13,9,13104,109709,109309,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Primario,Vigente en Operación Habitual,True,False,Bajo peso,55,21,34,0,0,1,1,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,1,1,20,0,0,1,1,0,0,0,0,0,0,2,32,0.0,0.0
2023,13,9,13104,109709,109309,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Primario,Vigente en Operación Habitual,True,False,Normal,382,140,242,2,23,17,33,16,10,11,8,9,17,236,0,7,3,6,3,4,3,3,3,7,39,101,2,16,14,27,13,6,8,5,6,10,105,135,0.0,0.0
2023,13,9,13104,109709,109309,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Primario,Vigente en Operación Habitual,True,False,Obesidad,391,89,302,1,28,31,39,36,34,30,32,11,12,137,0,8,7,4,5,7,9,3,6,2,51,38,1,20,24,35,31,27,21,29,5,10,202,99,0.0,0.0
2023,13,9,13104,109709,109309,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,360,116,244,1,19,23,27,27,20,24,26,24,11,158,1,6,5,6,6,6,6,8,7,2,52,63,0,13,18,21,21,14,18,18,17,9,149,95,0.0,0.0
2023,13,9,13104,200347,109308,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Primario,Vigente en Operación Habitual,True,False,Bajo peso,38,9,29,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,28,0.0,0.0
2023,13,9,13104,200347,109308,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Primario,Vigente en Operación Habitual,True,False,Normal,238,83,155,0,22,19,7,14,10,9,7,7,6,137,0,9,4,1,7,1,1,2,1,2,28,55,0,13,15,6,7,9,8,5,6,4,73,82,0.0,0.0
2023,13,9,13104,200347,109308,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Primario,Vigente en Operación Habitual,True,False,Obesidad,305,68,237,0,25,25,37,20,18,20,17,20,8,115,0,2,4,9,2,5,8,6,13,2,51,17,0,23,21,28,18,13,12,11,7,6,139,98,0.0,0.0
2023,13,9,13104,200347,109308,09,Servicio de Salud Metropolitano Norte,Municipal,13104,Conchalí,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Alberto Bachelet,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,283,116,167,0,20,26,26,18,17,21,17,16,11,111,0,3,9,14,9,10,8,8,3,5,69,47,0,17,17,12,9,7,13,9,13,6,103,64,0.0,0.0
2023,13,9,13107,109305,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Primario,Vigente en Operación Habitual,True,False,Bajo peso,204,88,116,0,17,3,5,3,1,3,3,6,3,160,0,6,1,0,1,0,3,1,6,2,20,68,0,11,2,5,2,1,0,2,0,1,24,92,0.0,0.0
2023,13,9,13107,109305,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Primario,Vigente en Operación Habitual,True,False,Normal,1313,553,760,0,141,108,71,64,56,55,62,52,41,663,0,41,36,21,25,20,19,30,27,23,242,311,0,100,72,50,39,36,36,32,25,18,408,352,0.0,0.0
2023,13,9,13107,109305,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Primario,Vigente en Operación Habitual,True,False,Obesidad,1619,414,1205,1,126,181,188,166,120,111,101,94,50,481,1,28,38,47,37,34,27,24,33,19,287,126,0,98,143,141,129,86,84,77,61,31,850,355,0.0,0.0
2023,13,9,13107,109305,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1516,526,990,0,105,172,131,95,136,87,83,86,62,559,0,29,44,36,27,43,31,29,33,30,302,224,0,76,128,95,68,93,56,54,53,32,655,335,0.0,0.0
2023,13,9,13107,109317,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Primario,Vigente en Operación Habitual,True,False,Bajo peso,78,24,54,0,1,2,5,1,1,0,1,1,0,66,0,1,0,2,0,1,0,0,0,0,4,20,0,0,2,3,1,0,0,1,1,0,8,46,0.0,0.0
2023,13,9,13107,109317,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Primario,Vigente en Operación Habitual,True,False,Normal,516,199,317,0,61,57,41,26,26,18,33,25,12,217,0,22,19,11,5,9,3,15,13,7,104,95,0,39,38,30,21,17,15,18,12,5,195,122,0.0,0.0
2023,13,9,13107,109317,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Primario,Vigente en Operación Habitual,True,False,Obesidad,817,223,594,1,66,102,87,70,64,54,61,53,17,242,1,17,19,18,20,17,15,17,21,5,149,73,0,49,83,69,50,47,39,44,32,12,425,169,0.0,0.0
2023,13,9,13107,109317,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,732,238,494,1,58,69,93,65,49,51,66,61,28,191,0,16,14,26,20,17,16,18,18,12,157,81,1,42,55,67,45,32,35,48,43,16,383,110,0.0,0.0
2023,13,9,13107,109323,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Bajo peso,98,44,54,1,4,4,2,0,3,0,1,1,0,82,1,2,3,1,0,2,0,1,1,0,10,33,0,2,1,1,0,1,0,0,0,0,5,49,0.0,0.0
2023,13,9,13107,109323,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Normal,681,254,427,3,72,63,58,27,30,25,28,27,21,327,1,17,13,18,10,9,9,13,13,9,111,142,2,55,50,40,17,21,16,15,14,12,240,185,0.0,0.0
2023,13,9,13107,109323,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Obesidad,1070,240,830,2,86,108,117,101,93,79,95,42,31,316,1,14,16,26,20,19,23,17,11,10,156,83,1,72,92,91,81,74,56,78,31,21,596,233,0.0,0.0
2023,13,9,13107,109323,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,985,336,649,3,76,97,99,70,59,76,88,60,21,336,2,18,22,30,19,22,30,29,27,9,206,128,1,58,75,69,51,37,46,59,33,12,440,208,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Bajo peso,45,19,26,0,1,1,1,0,3,1,1,0,0,37,0,1,0,1,0,0,0,0,0,0,2,17,0,0,1,0,0,3,1,1,0,0,6,20,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Normal,414,155,259,0,39,47,28,23,16,15,9,21,11,205,0,6,18,8,6,5,6,2,9,1,61,94,0,33,29,20,17,11,9,7,12,10,148,111,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Obesidad,464,131,333,0,28,52,45,51,46,25,24,28,29,136,0,8,10,13,12,11,10,4,8,14,90,41,0,20,42,32,39,35,15,20,20,15,238,95,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,523,178,345,0,20,39,56,65,40,26,35,34,33,175,0,7,8,16,19,12,9,11,13,12,107,71,0,13,31,40,46,28,17,24,21,21,241,104,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Bajo peso,91,17,74,1,1,4,1,1,0,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,1,16,1,1,4,1,0,0,0,0,0,0,6,67,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Normal,507,145,362,4,28,38,23,12,12,20,17,24,17,312,2,10,10,6,3,1,3,3,7,4,47,96,2,18,28,17,9,11,17,14,17,13,144,216,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Obesidad,349,100,249,2,17,37,34,21,26,21,28,30,13,120,1,4,12,12,5,6,3,11,6,6,65,34,1,13,25,22,16,20,18,17,24,7,162,86,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,446,145,301,1,23,26,30,23,21,42,30,22,28,200,0,7,5,8,13,7,12,6,8,7,73,72,1,16,21,22,10,14,30,24,14,21,172,128,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Bajo peso,405,128,277,0,4,2,5,3,1,1,5,1,6,377,0,2,0,2,1,1,0,3,1,3,13,115,0,2,2,3,2,0,1,2,0,3,15,262,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Normal,1314,431,883,13,41,95,76,78,49,48,37,32,42,803,3,16,30,13,28,20,15,11,9,9,151,277,10,25,65,63,50,29,33,26,23,33,347,526,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Obesidad,1221,289,932,4,45,110,135,151,148,130,84,48,42,324,0,10,22,31,37,42,27,27,8,12,216,73,4,35,88,104,114,106,103,57,40,30,677,251,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,1351,419,932,8,51,100,135,124,124,136,83,82,65,443,1,15,32,38,42,45,25,25,29,22,273,145,7,36,68,97,82,79,111,58,53,43,627,298,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Bajo peso,241,68,173,0,2,6,0,0,0,0,1,0,1,231,0,0,2,0,0,0,0,0,0,0,2,66,0,2,4,0,0,0,0,1,0,1,8,165,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Normal,908,313,595,8,39,42,38,34,24,18,26,16,27,636,3,11,11,8,4,5,4,13,6,14,76,234,5,28,31,30,30,19,14,13,10,13,188,402,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Obesidad,701,180,521,0,30,40,46,61,41,39,54,29,16,345,0,4,10,17,15,10,11,10,10,4,91,89,0,26,30,29,46,31,28,44,19,12,265,256,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Sobrepeso,811,249,562,4,30,40,52,60,49,39,29,42,18,448,0,6,9,14,15,10,9,7,19,3,92,157,4,24,31,38,45,39,30,22,23,15,267,291,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,Bajo peso,26,9,17,0,1,0,1,0,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,1,0,1,0,0,4,11,0.0,0.0
