Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Presion arterial elevada,3239,1710,0,43,52,89,113,99,108,113,98,814,24305,12479,9,1214,1335,1318,1165,990,866,781,603,3545,Mujer,13.703021075406681,0.0,3.5420098846787478,3.895131086142322,6.752655538694992,9.699570815450643,10.0,12.471131639722865,14.468629961587709,16.25207296849088,22.961918194640337,13.326476033737913
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Tabaquismo,5602,2810,3,328,386,351,310,295,270,228,165,456,24305,12479,9,1214,1335,1318,1165,990,866,781,603,3545,Mujer,22.51782995432326,33.33333333333333,27.01812191103789,28.91385767790262,26.631259484066767,26.609442060085836,29.797979797979796,31.177829099307157,29.19334186939821,27.363184079601986,12.863187588152329,23.04875540012343
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Colesterol elevado,4142,2172,4,77,82,127,141,174,164,232,175,794,22152,11966,45,807,944,929,875,766,659,609,451,4101,Mujer,18.151429048972087,8.88888888888889,9.541511771995044,8.686440677966102,13.670613562970937,16.114285714285714,22.715404699738905,24.88619119878604,38.095238095238095,38.80266075388026,19.361131431358206,18.69808595160708
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Glicemia alterada,3738,1999,1,102,111,140,113,112,104,138,100,818,22152,11966,45,807,944,929,875,766,659,609,451,4101,Mujer,16.705666053819154,2.2222222222222223,12.639405204460965,11.758474576271187,15.069967707212056,12.914285714285715,14.621409921671018,15.781487101669194,22.660098522167488,22.172949002217297,19.946354547671298,16.87432286023835
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Presion arterial elevada,4353,2497,5,42,59,66,77,95,98,107,73,1234,22152,11966,45,807,944,929,875,766,659,609,451,4101,Mujer,20.86745779709176,11.11111111111111,5.204460966542751,6.25,7.104413347685684,8.799999999999999,12.402088772845952,14.87101669195751,17.569786535303777,16.186252771618626,30.090221897098267,19.65059588299025
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Tabaquismo,4317,2203,6,173,208,214,196,208,157,147,107,698,22152,11966,45,807,944,929,875,766,659,609,451,4101,Mujer,18.41049640648504,13.333333333333334,21.437422552664188,22.033898305084744,23.03552206673843,22.400000000000002,27.154046997389038,23.823975720789075,24.137931034482758,23.725055432372503,17.02023896610583,19.488082340195017
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Colesterol elevado,4428,2214,11,111,157,242,272,279,343,354,286,159,21088,10780,143,931,1153,1260,1139,1051,903,753,512,2463,Mujer,20.538033395176253,7.6923076923076925,11.92266380236305,13.616652211621854,19.20634920634921,23.88059701492537,26.54614652711703,37.98449612403101,47.01195219123506,55.859375,6.455542021924482,20.99772382397572
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Glicemia alterada,2058,1029,4,49,93,123,150,128,143,144,109,86,21088,10780,143,931,1153,1260,1139,1051,903,753,512,2463,Mujer,9.545454545454547,2.797202797202797,5.263157894736842,8.065915004336514,9.761904761904763,13.169446883230904,12.178877259752618,15.83610188261351,19.12350597609562,21.2890625,3.4916768168899717,9.759104704097117
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Presion arterial elevada,414,211,2,6,9,11,21,23,25,34,23,49,21088,10780,143,931,1153,1260,1139,1051,903,753,512,2463,Mujer,1.9573283858998143,1.3986013986013985,0.644468313641246,0.7805724197745013,0.873015873015873,1.8437225636523267,2.1883920076117986,2.768549280177187,4.51527224435591,4.4921875,1.989443767762891,1.9632018209408193
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Tabaquismo,3778,1889,20,170,268,308,291,269,203,179,110,71,21088,10780,143,931,1153,1260,1139,1051,903,753,512,2463,Mujer,17.523191094619666,13.986013986013987,18.259935553168635,23.243712055507373,24.444444444444443,25.548726953467956,25.59467174119886,22.48062015503876,23.771580345285525,21.484375,2.882663418595209,17.91540212443096
