Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_24,15_24_distribucion_pct,25_34,25_34_distribucion_pct,35_44,35_44_distribucion_pct,45_54,45_54_distribucion_pct,55_64,55_64_distribucion_pct,65_mas,65_mas_distribucion_pct,total_15_mas,total_15_mas_distribucion_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Bajo peso,0,0,0,0,0,0,649,Mujer,0,,0,,0,,0,,0,,0,,29,4.468412942989214
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Normal,0,0,0,0,0,0,649,Mujer,0,,0,,0,,0,,0,,0,,154,23.728813559322035
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Obesidad,0,0,0,0,0,0,649,Mujer,0,,0,,0,,0,,0,,0,,224,34.514637904468415
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Sobrepeso,0,0,0,0,0,0,649,Mujer,0,,0,,0,,0,,0,,0,,242,37.28813559322034
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Bajo peso,0,0,0,0,0,0,8631,Mujer,0,,0,,0,,0,,0,,0,,489,5.665623913799096
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Normal,0,0,0,0,0,0,8631,Mujer,0,,0,,0,,0,,0,,0,,2226,25.790754257907544
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Obesidad,0,0,0,0,0,0,8631,Mujer,0,,0,,0,,0,,0,,0,,3193,36.99455451280269
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Sobrepeso,0,0,0,0,0,0,8631,Mujer,0,,0,,0,,0,,0,,0,,2723,31.549067315490674
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Bajo peso,0,0,0,0,0,0,12754,Mujer,0,,0,,0,,0,,0,,0,,456,3.575348910145837
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Normal,0,0,0,0,0,0,12754,Mujer,0,,0,,0,,0,,0,,0,,3460,27.12874392347499
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Obesidad,0,0,0,0,0,0,12754,Mujer,0,,0,,0,,0,,0,,0,,4695,36.81198055511996
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Sobrepeso,0,0,0,0,0,0,12754,Mujer,0,,0,,0,,0,,0,,0,,4143,32.483926611259214
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Bajo peso,0,0,0,0,0,0,18801,Mujer,0,,0,,0,,0,,0,,0,,671,3.5689590979203234
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Normal,0,0,0,0,0,0,18801,Mujer,0,,0,,0,,0,,0,,0,,5067,26.950694112015317
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Obesidad,0,0,0,0,0,0,18801,Mujer,0,,0,,0,,0,,0,,0,,6960,37.01930748364449
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Sobrepeso,0,0,0,0,0,0,18801,Mujer,0,,0,,0,,0,,0,,0,,6103,32.46103930641987
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Bajo peso,0,0,0,0,0,0,9065,Mujer,0,,0,,0,,0,,0,,0,,570,6.2879205736348585
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Normal,0,0,0,0,0,0,9065,Mujer,0,,0,,0,,0,,0,,0,,3030,33.42526199669057
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Obesidad,0,0,0,0,0,0,9065,Mujer,0,,0,,0,,0,,0,,0,,2736,30.182018753447327
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Sobrepeso,0,0,0,0,0,0,9065,Mujer,0,,0,,0,,0,,0,,0,,2729,30.104798676227247
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Bajo peso,0,0,0,0,0,0,11651,Mujer,0,,0,,0,,0,,0,,0,,517,4.437387348725432
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Normal,0,0,0,0,0,0,11651,Mujer,0,,0,,0,,0,,0,,0,,3024,25.95485366062999
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Obesidad,0,0,0,0,0,0,11651,Mujer,0,,0,,0,,0,,0,,0,,4339,37.24143850313278
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Sobrepeso,0,0,0,0,0,0,11651,Mujer,0,,0,,0,,0,,0,,0,,3771,32.3663204875118
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Bajo peso,0,0,0,0,0,0,7325,Mujer,0,,0,,0,,0,,0,,0,,290,3.9590443686006824
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Normal,0,0,0,0,0,0,7325,Mujer,0,,0,,0,,0,,0,,0,,1913,26.116040955631398
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Obesidad,0,0,0,0,0,0,7325,Mujer,0,,0,,0,,0,,0,,0,,2703,36.901023890784984
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Sobrepeso,0,0,0,0,0,0,7325,Mujer,0,,0,,0,,0,,0,,0,,2419,33.02389078498293
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Bajo peso,0,0,0,0,0,0,724,Mujer,0,,0,,0,,0,,0,,0,,38,5.248618784530387
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Normal,0,0,0,0,0,0,724,Mujer,0,,0,,0,,0,,0,,0,,226,31.215469613259668
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Obesidad,0,0,0,0,0,0,724,Mujer,0,,0,,0,,0,,0,,0,,224,30.939226519337016
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Sobrepeso,0,0,0,0,0,0,724,Mujer,0,,0,,0,,0,,0,,0,,236,32.59668508287293
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Bajo peso,0,0,0,0,0,0,703,Mujer,0,,0,,0,,0,,0,,0,,35,4.978662873399715
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Normal,0,0,0,0,0,0,703,Mujer,0,,0,,0,,0,,0,,0,,194,27.59601706970128
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Obesidad,0,0,0,0,0,0,703,Mujer,0,,0,,0,,0,,0,,0,,260,36.98435277382646
