Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,categoria_estado_nutricional,15_24,25_34,35_44,45_54,55_64,65_mas,total_15_mas,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_distribucion_pct,25_34_distribucion_pct,35_44_distribucion_pct,45_54_distribucion_pct,55_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200210,Centro Comunitario de Salud Familiar Coñimo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Obesidad,16,62,67,76,59,145,425,59.0,147.0,125.0,143.0,170.0,643.0,1287.0,27.11864406779661,42.17687074829932,53.6,53.14685314685315,34.705882352941174,22.55054432348367,33.022533022533025
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200210,Centro Comunitario de Salud Familiar Coñimo,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Sobrepeso,15,42,39,39,73,186,394,59.0,147.0,125.0,143.0,170.0,643.0,1287.0,25.423728813559322,28.57142857142857,31.2,27.27272727272727,42.94117647058823,28.92690513219285,30.61383061383061
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200337,Centro Comunitario de Salud Familiar Martín Henríquez,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Bajo peso,4,0,0,0,2,53,59,88.0,231.0,179.0,217.0,238.0,390.0,1343.0,4.545454545454546,0.0,0.0,0.0,0.8403361344537815,13.58974358974359,4.393149664929263
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200337,Centro Comunitario de Salud Familiar Martín Henríquez,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Normal,28,55,36,34,45,143,341,88.0,231.0,179.0,217.0,238.0,390.0,1343.0,31.818181818181817,23.809523809523807,20.11173184357542,15.668202764976957,18.907563025210084,36.666666666666664,25.39091586001489
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200337,Centro Comunitario de Salud Familiar Martín Henríquez,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Obesidad,36,99,75,106,101,82,499,88.0,231.0,179.0,217.0,238.0,390.0,1343.0,40.909090909090914,42.857142857142854,41.899441340782126,48.8479262672811,42.436974789915965,21.025641025641026,37.155621742367835
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,200337,Centro Comunitario de Salud Familiar Martín Henríquez,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Sobrepeso,20,77,68,77,90,112,444,88.0,231.0,179.0,217.0,238.0,390.0,1343.0,22.727272727272727,33.33333333333333,37.988826815642454,35.483870967741936,37.81512605042017,28.717948717948715,33.06031273268801
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113300,Centro de Salud Familiar Barros Luco,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,34,19,3,8,16,637,717,572.0,1657.0,1789.0,1493.0,2186.0,4507.0,12204.0,5.944055944055944,1.1466505733252867,0.16769144773616546,0.5358338914936369,0.7319304666056725,14.13357000221877,5.87512291052114
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113300,Centro de Salud Familiar Barros Luco,Centro de Salud Familiar (CESFAM),Municipal,Normal,232,492,399,274,382,1878,3657,572.0,1657.0,1789.0,1493.0,2186.0,4507.0,12204.0,40.55944055944056,29.692214846107422,22.302962548910006,18.352310783657067,17.47483989021043,41.66851564233415,29.96558505408063
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113300,Centro de Salud Familiar Barros Luco,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,143,583,701,672,907,848,3854,572.0,1657.0,1789.0,1493.0,2186.0,4507.0,12204.0,25.0,35.1840675920338,39.183901621017334,45.010046885465506,41.491308325709056,18.815176392278676,31.579809898393968
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113300,Centro de Salud Familiar Barros Luco,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,163,563,686,539,881,1144,3976,572.0,1657.0,1789.0,1493.0,2186.0,4507.0,12204.0,28.496503496503493,33.977066988533494,38.3454443823365,36.101808439383795,40.30192131747484,25.382737963168406,32.57948213700426
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113302,Centro de Salud Familiar Recreo,Centro de Salud Familiar (CESFAM),Municipal,Bajo peso,13,8,7,1,13,504,546,552.0,1452.0,1361.0,1303.0,1792.0,3712.0,10172.0,2.355072463768116,0.5509641873278237,0.5143277002204262,0.07674597083653108,0.7254464285714286,13.577586206896552,5.367675973259929
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113302,Centro de Salud Familiar Recreo,Centro de Salud Familiar (CESFAM),Municipal,Normal,222,346,221,186,321,1461,2757,552.0,1452.0,1361.0,1303.0,1792.0,3712.0,10172.0,40.21739130434783,23.829201101928373,16.23806024981631,14.27475057559478,17.912946428571427,39.358836206896555,27.10381439244986
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113302,Centro de Salud Familiar Recreo,Centro de Salud Familiar (CESFAM),Municipal,Obesidad,158,575,619,626,761,791,3530,552.0,1452.0,1361.0,1303.0,1792.0,3712.0,10172.0,28.6231884057971,39.60055096418733,45.481263776634826,48.04297774366846,42.466517857142854,21.30926724137931,34.703106567046795
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,113302,Centro de Salud Familiar Recreo,Centro de Salud Familiar (CESFAM),Municipal,Sobrepeso,159,523,514,490,697,956,3339,552.0,1452.0,1361.0,1303.0,1792.0,3712.0,10172.0,28.804347826086957,36.019283746556475,37.76634827332844,37.60552570990023,38.895089285714285,25.754310344827587,32.825403067243414
2025,establecimiento,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,200361,Centro Comunitario de Salud Familiar Atacama,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Bajo peso,2,9,0,3,3,103,120,84.0,305.0,332.0,272.0,390.0,795.0,2178.0,2.380952380952381,2.9508196721311477,0.0,1.1029411764705883,0.7692307692307693,12.955974842767295,5.5096418732782375
