Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Colesterol elevado,1,39,77,131,96,160,169,188,158,125,545,1689,18,1084,1199,1209,1019,943,843,807,712,587,9170,17591,5.555555555555555,3.5977859778597785,6.422018348623854,10.835401157981803,9.421000981354268,16.96712619300106,20.047449584816132,23.296158612143742,22.191011235955056,21.29471890971039,5.9432933478735,9.601500767437894
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Glicemia alterada,4,49,77,109,112,120,95,120,116,105,1351,2258,18,1084,1199,1209,1019,943,843,807,712,587,9170,17591,22.22222222222222,4.520295202952029,6.422018348623854,9.015715467328372,10.99116781157998,12.725344644750795,11.269276393831554,14.869888475836431,16.292134831460675,17.88756388415673,14.732824427480917,12.836109374111762
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Presion arterial elevada,8,61,96,112,129,159,147,162,164,145,2442,3625,18,1084,1199,1209,1019,943,843,807,712,587,9170,17591,44.44444444444444,5.627306273062731,8.006672226855713,9.263854425144748,12.659470068694798,16.861081654294804,17.437722419928825,20.074349442379184,23.03370786516854,24.701873935264054,26.63031624863686,20.607128645329997
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Tabaquismo,10,248,350,367,289,306,269,270,230,186,1101,3626,18,1084,1199,1209,1019,943,843,807,712,587,9170,17591,55.55555555555556,22.878228782287824,29.190992493744787,30.355665839536805,28.361138370951917,32.44962884411453,31.90984578884935,33.457249070631974,32.30337078651686,31.686541737649065,12.006543075245366,20.61281337047354
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Colesterol elevado,2,40,77,76,91,116,120,167,142,98,717,1646,20,970,1210,1115,884,802,709,766,667,417,4908,12468,10.0,4.123711340206185,6.363636363636363,6.816143497757847,10.294117647058822,14.463840399002494,16.92524682651622,21.801566579634464,21.289355322338828,23.501199040767386,14.60880195599022,13.201796599294195
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Glicemia alterada,4,210,305,311,281,276,278,292,255,175,2113,4500,20,970,1210,1115,884,802,709,766,667,417,4908,12468,20.0,21.649484536082475,25.206611570247933,27.89237668161435,31.78733031674208,34.413965087281795,39.21015514809591,38.1201044386423,38.23088455772114,41.96642685851319,43.05215973920131,36.092396535129936
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Presion arterial elevada,1,71,108,121,122,147,151,159,149,107,1739,2875,20,970,1210,1115,884,802,709,766,667,417,4908,12468,5.0,7.31958762886598,8.925619834710744,10.852017937219731,13.800904977375566,18.329177057356606,21.297602256699577,20.757180156657963,22.338830584707647,25.65947242206235,35.4319478402608,23.059031119666347
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Tabaquismo,2,283,409,347,321,295,251,280,201,144,651,3184,20,970,1210,1115,884,802,709,766,667,417,4908,12468,10.0,29.175257731958766,33.80165289256198,31.12107623318386,36.31221719457013,36.78304239401496,35.40197461212976,36.55352480417754,30.13493253373313,34.53237410071942,13.2640586797066,25.537375681745267
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Colesterol elevado,0,7,7,17,12,13,20,17,10,11,130,244,40,252,443,503,528,448,424,331,259,223,3696,7154,0.0,2.7777777777777777,1.580135440180587,3.3797216699801194,2.272727272727273,2.9017857142857144,4.716981132075472,5.13595166163142,3.861003861003861,4.932735426008969,3.5173160173160176,3.4106793402292426
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Glicemia alterada,0,0,2,5,5,7,5,11,12,9,233,289,40,252,443,503,528,448,424,331,259,223,3696,7154,0.0,0.0,0.4514672686230248,0.9940357852882704,0.946969696969697,1.5625,1.179245283018868,3.3232628398791544,4.633204633204633,4.0358744394618835,6.304112554112554,4.039698071009226
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Presion arterial elevada,2,9,27,29,46,53,66,46,47,52,769,1143,40,252,443,503,528,448,424,331,259,223,3696,7154,5.0,3.571428571428571,6.094808126410835,5.7654075546719685,8.712121212121213,11.830357142857142,15.566037735849056,13.897280966767372,18.146718146718147,23.318385650224215,20.806277056277057,15.977075761811573
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Tabaquismo,7,47,68,70,89,60,52,56,48,38,251,786,40,252,443,503,528,448,424,331,259,223,3696,7154,17.5,18.650793650793652,15.349887133182843,13.916500994035786,16.856060606060606,13.392857142857142,12.264150943396226,16.91842900302115,18.53281853281853,17.040358744394617,6.791125541125541,10.986860497623708
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Colesterol elevado,0,15,33,45,59,76,106,151,107,88,585,1265,14,1563,1663,1648,1462,1321,1132,1118,870,672,5975,17438,0.0,0.9596928982725527,1.984365604329525,2.7305825242718447,4.035567715458276,5.753217259651779,9.363957597173144,13.506261180679784,12.298850574712644,13.095238095238097,9.790794979079498,7.2542722789310705
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Glicemia alterada,7,6,13,29,27,35,53,65,59,37,1218,1549,14,1563,1663,1648,1462,1321,1132,1118,870,672,5975,17438,50.0,0.3838771593090211,0.7817197835237523,1.7597087378640777,1.8467852257181943,2.6495079485238455,4.681978798586572,5.813953488372093,6.781609195402299,5.5059523809523805,20.384937238493723,8.882899415070536
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Presion arterial elevada,1,63,85,137,172,170,169,201,170,142,1525,2835,14,1563,1663,1648,1462,1321,1132,1118,870,672,5975,17438,7.142857142857142,4.030710172744722,5.111244738424534,8.313106796116505,11.76470588235294,12.86903860711582,14.929328621908128,17.978533094812164,19.54022988505747,21.13095238095238,25.523012552301257,16.257598348434456
2023,comuna,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,Tabaquismo,4,430,507,472,411,401,358,344,242,196,613,3978,14,1563,1663,1648,1462,1321,1132,1118,870,672,5975,17438,28.57142857142857,27.51119641714651,30.487071557426336,28.640776699029125,28.11217510259918,30.3557910673732,31.62544169611308,30.76923076923077,27.816091954022987,29.166666666666668,10.259414225941423,22.812249111136598
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Colesterol elevado,6,107,115,185,204,244,225,309,239,189,1199,3022,72,1072,1212,1222,1157,1050,916,886,683,620,8546,17436,8.333333333333332,9.981343283582088,9.488448844884488,15.13911620294599,17.631806395851342,23.238095238095237,24.563318777292576,34.87584650112866,34.99267935578331,30.483870967741932,14.0299555347531,17.331956870841935
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Glicemia alterada,1,144,139,173,158,168,167,198,157,144,1687,3136,72,1072,1212,1222,1157,1050,916,886,683,620,8546,17436,1.3888888888888888,13.432835820895523,11.468646864686468,14.157119476268413,13.65600691443388,16.0,18.231441048034934,22.34762979683973,22.986822840409957,23.225806451612904,19.740229347062954,17.985776554255565
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Presion arterial elevada,8,65,93,118,133,166,159,179,158,152,2943,4174,72,1072,1212,1222,1157,1050,916,886,683,620,8546,17436,11.11111111111111,6.063432835820896,7.673267326732673,9.656301145662848,11.495246326707,15.80952380952381,17.358078602620086,20.20316027088036,23.133235724743777,24.516129032258064,34.43716358530307,23.93897682954806
2023,comuna,9,Servicio de Salud Metropolitano Norte,13127,Recoleta,Tabaquismo,13,247,279,299,299,309,248,248,194,189,1198,3523,72,1072,1212,1222,1157,1050,916,886,683,620,8546,17436,18.055555555555554,23.041044776119403,23.01980198019802,24.46808510638298,25.842696629213485,29.428571428571427,27.074235807860266,27.99097065462754,28.40409956076135,30.483870967741932,14.01825415399017,20.2053223216334
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Colesterol elevado,14,150,248,376,445,458,517,509,389,227,3,3336,198,1345,1616,1760,1626,1501,1286,1078,775,485,4355,16025,7.07070707070707,11.152416356877323,15.346534653465346,21.363636363636363,27.36777367773678,30.51299133910726,40.20217729393468,47.217068645640076,50.193548387096776,46.8041237113402,0.06888633754305395,20.817472698907956
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Glicemia alterada,7,69,143,185,227,217,231,227,181,119,20,1626,198,1345,1616,1760,1626,1501,1286,1078,775,485,4355,16025,3.535353535353535,5.130111524163569,8.849009900990099,10.511363636363637,13.960639606396064,14.457028647568288,17.962674961119752,21.057513914656774,23.35483870967742,24.536082474226802,0.4592422502870264,10.146645865834634
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Presion arterial elevada,3,10,22,22,40,41,48,61,46,38,72,403,198,1345,1616,1760,1626,1501,1286,1078,775,485,4355,16025,1.5151515151515151,0.7434944237918215,1.3613861386138615,1.25,2.4600246002460024,2.731512325116589,3.7325038880248838,5.658627087198516,5.935483870967742,7.835051546391752,1.653272101033295,2.514820592823713
2023,comuna,9,Servicio de Salud Metropolitano Norte,13301,Colina,Tabaquismo,32,306,421,449,421,379,314,267,175,104,1,2869,198,1345,1616,1760,1626,1501,1286,1078,775,485,4355,16025,16.161616161616163,22.75092936802974,26.051980198019802,25.511363636363637,25.891758917589176,25.249833444370417,24.416796267496114,24.768089053803337,22.58064516129032,21.443298969072163,0.022962112514351322,17.903276131045242
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Colesterol elevado,3,19,36,56,56,73,74,68,85,48,227,745,133,886,1061,1171,936,803,627,461,352,255,2714,9399,2.2556390977443606,2.144469525959368,3.3930254476908575,4.782237403928266,5.982905982905983,9.090909090909092,11.802232854864434,14.75054229934924,24.147727272727273,18.823529411764707,8.36403831982314,7.926375146292158
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Glicemia alterada,3,15,23,52,43,59,54,40,46,38,604,977,133,886,1061,1171,936,803,627,461,352,255,2714,9399,2.2556390977443606,1.6930022573363432,2.167766258246937,4.44064901793339,4.594017094017095,7.347447073474471,8.61244019138756,8.676789587852495,13.068181818181818,14.901960784313726,22.254974207811347,10.394722842855623
2023,comuna,9,Servicio de Salud Metropolitano Norte,13302,Lampa,Presion arterial elevada,3,33,36,62,68,79,69,76,74,53,848,1401,133,886,1061,1171,936,803,627,461,352,255,2714,9399,2.2556390977443606,3.724604966139955,3.3930254476908575,5.2946199829205804,7.264957264957266,9.838107098381071,11.004784688995215,16.48590021691974,21.022727272727273,20.784313725490197,31.245394252026532,14.905841046919885
