Ano,IdEstablecimiento,establecimiento_denominador,establecimiento_master,servicio_salud_denominador,servicio_salud_master,dependencia_denominador,dependencia_master,nivel_atencion_master,es_aps,sin_match_master
2023,109419,Posta de Salud Rural Santa Marta de Liray,Posta de Salud Rural Santa Marta de Liray,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109420,Posta de Salud Rural Chacabuco (Colina),Posta de Salud Rural Chacabuco (Colina),Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109711,Centro Comunitario de Salud Familiar Sol de Septiembre,Centro Comunitario de Salud Familiar Sol de Septiembre,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109712,Centro Comunitario de Salud Familiar Batuco,Centro Comunitario de Salud Familiar Batuco,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109713,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar La Foresta,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar Pucara de Lasana,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109716,Centro Comunitario de Salud Familiar Esmeralda,Centro Comunitario de Salud Familiar Esmeralda,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar Los Libertadores,Servicio de Salud Metropolitano Norte,Servicio de Salud Metropolitano Norte,<NA>,Municipal,Primario,True,False
2023,110160,Hospital de Curacaví,Hospital de Curacaví,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Servicio de Salud,,False,False
2023,110300,Centro de Referencia de Salud Salvador Allende,Centro de Referencia de Salud Salvador Allende,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Servicio de Salud,Secundario,False,False
2023,110308,Centro de Salud Familiar Peñaflor,Centro de Salud Familiar Peñaflor,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110310,Centro de Salud Familiar Andes,Centro de Salud Familiar Andes,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Servicio de Salud,Primario,True,False
2023,110315,Centro de Salud Familiar Santa Anita,Centro de Salud Familiar Santa Anita,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110316,Centro de Salud Familiar Pablo Neruda,Centro de Salud Familiar Pablo Neruda,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110320,Centro de Salud Familiar Lo Franco,Centro de Salud Familiar Lo Franco,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110325,Centro de Salud Familiar Garín,Centro de Salud Familiar Garín,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110330,Centro de Salud Familiar Dr. Adalberto Steeger,Centro de Salud Familiar Dr. Adalberto Steeger,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110331,Centro de Salud Familiar Lo Amor,Centro de Salud Familiar Lo Amor,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110335,Centro de Salud Familiar Cerro Navia,Centro de Salud Familiar Cerro Navia,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110340,Centro de Salud Familiar Dr. Raúl Yazigi,Centro de Salud Familiar Dr. Raúl Yazigi,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110345,Centro de Salud Familiar Dr. Avendaño,Centro de Salud Familiar Dr. Carlos Avendaño,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110350,Centro de Salud Familiar Pudahuel Estrella,Centro de Salud Familiar Pudahuel Estrella,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110351,Consultorio Pudahuel Poniente,Centro de Salud Familiar Pudahuel Poniente,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110352,Centro de Salud Familiar Dr. Gustavo Molina,Centro de Salud Familiar Dr. Gustavo Molina,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110353,Centro de Salud Familiar Cardenal Raúl Silva Henríquez de Pudahuel,Centro de Salud Familiar Cardenal Raúl Silva Henríquez,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110354,Centro de Salud Familiar Violeta Parra,Centro de Salud Familiar Violeta Parra,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110355,Centro de Salud Familiar Dr. Arturo Albertz,Centro de Salud Familiar Dr. Arturo Albertz,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110360,Centro de Salud Familiar Renca,Centro de Salud Familiar Renca,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110361,Centro de Salud Familiar Bicentenario,Centro de Salud Familiar Bicentenario,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
2023,110362,Centro de Salud Familiar Dr. Hernán Urzúa Merino,Centro de Salud Familiar Dr. Hernán Urzúa Merino,Servicio de Salud Metropolitano Occidente,Servicio de Salud Metropolitano Occidente,<NA>,Municipal,Primario,True,False
