Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,486,3,11,24,27,24,46,16,19,24,13,279,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,37.0,719.0,Hombre,300.0,17.46031746031746,44.44444444444444,32.53012048192771,48.97959183673469,85.18518518518519,29.629629629629626,27.941176470588236,41.37931034482759,35.13513513513514,38.80389429763561,39.19354838709677
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,255,5,18,25,27,17,23,19,16,13,13,79,1240.0,1.0,63.0,54.0,83.0,49.0,54.0,54.0,68.0,58.0,37.0,719.0,Hombre,500.0,28.57142857142857,46.2962962962963,32.53012048192771,34.69387755102041,42.592592592592595,35.18518518518518,23.52941176470588,22.413793103448278,35.13513513513514,10.987482614742698,20.56451612903226
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,80,0,2,4,6,8,7,7,8,9,6,23,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,55.0,866.0,Hombre,,1.8518518518518516,3.3333333333333335,5.88235294117647,9.30232558139535,9.45945945945946,12.727272727272727,12.903225806451612,13.636363636363635,10.909090909090908,2.655889145496536,5.018820577164367
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,150,0,2,10,11,3,3,5,8,11,10,87,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,55.0,866.0,Hombre,,1.8518518518518516,8.333333333333332,10.784313725490197,3.488372093023256,4.054054054054054,9.090909090909092,12.903225806451612,16.666666666666664,18.181818181818183,10.046189376443419,9.410288582183187
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,243,0,4,12,8,11,11,13,15,9,14,146,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,55.0,866.0,Hombre,,3.7037037037037033,10.0,7.8431372549019605,12.790697674418606,14.864864864864865,23.636363636363637,24.193548387096776,13.636363636363635,25.454545454545453,16.859122401847575,15.244667503136764
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,431,0,28,50,35,38,35,22,33,25,20,145,1594.0,0.0,108.0,120.0,102.0,86.0,74.0,55.0,62.0,66.0,55.0,866.0,Hombre,,25.925925925925924,41.66666666666667,34.31372549019608,44.18604651162791,47.2972972972973,40.0,53.2258064516129,37.878787878787875,36.36363636363637,16.74364896073903,27.038895859473023
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,22,0,1,2,2,1,4,3,3,0,2,4,366.0,1.0,21.0,15.0,16.0,14.0,17.0,18.0,14.0,16.0,12.0,222.0,Hombre,0.0,4.761904761904762,13.333333333333334,12.5,7.142857142857142,23.52941176470588,16.666666666666664,21.428571428571427,0.0,16.666666666666664,1.8018018018018018,6.0109289617486334
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,40,0,3,4,2,2,4,3,2,1,0,19,366.0,1.0,21.0,15.0,16.0,14.0,17.0,18.0,14.0,16.0,12.0,222.0,Hombre,0.0,14.285714285714285,26.666666666666668,12.5,14.285714285714285,23.52941176470588,16.666666666666664,14.285714285714285,6.25,0.0,8.558558558558559,10.92896174863388
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,154,0,4,6,5,5,9,6,6,6,4,103,366.0,1.0,21.0,15.0,16.0,14.0,17.0,18.0,14.0,16.0,12.0,222.0,Hombre,0.0,19.047619047619047,40.0,31.25,35.714285714285715,52.94117647058824,33.33333333333333,42.857142857142854,37.5,33.33333333333333,46.3963963963964,42.07650273224044
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,87,1,4,6,7,4,4,5,3,4,8,41,366.0,1.0,21.0,15.0,16.0,14.0,17.0,18.0,14.0,16.0,12.0,222.0,Hombre,100.0,19.047619047619047,40.0,43.75,28.57142857142857,23.52941176470588,27.77777777777778,21.428571428571427,25.0,66.66666666666666,18.46846846846847,23.770491803278688
