Ano,nivel_geografico_x,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,nivel_geografico_y,nivel_geografico,sexo,15_19_denominador,15_19_cobertura_pct,20_24_denominador,20_24_cobertura_pct,25_29_denominador,25_29_cobertura_pct,30_34_denominador,30_34_cobertura_pct,35_39_denominador,35_39_cobertura_pct,40_44_denominador,40_44_cobertura_pct,45_49_denominador,45_49_cobertura_pct,50_54_denominador,50_54_cobertura_pct,55_59_denominador,55_59_cobertura_pct,60_64_denominador,60_64_cobertura_pct,65_mas_denominador,65_mas_cobertura_pct,total_15_mas_denominador,total_15_mas_cobertura_pct
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,18801,512,1334,1599,1670,1399,1325,1164,1121,1096,924,6657,comuna,comuna,Mujer,6725.0,7.613382899628253,7440.0,17.93010752688172,9160.0,17.45633187772926,9268.0,18.018990073370738,7644.0,18.301936159079016,7147.0,18.539247236602773,7000.0,16.62857142857143,7090.0,15.811001410437237,7991.0,13.715429858590914,6965.0,13.266331658291458,15053.0,44.223742775526475,91483.0,20.55135926893521
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,9065,128,717,732,650,530,457,387,360,314,245,4545,comuna,comuna,Mujer,2650.0,4.830188679245283,3408.0,21.038732394366196,4248.0,17.231638418079097,4445.0,14.623172103487065,3717.0,14.25881086898036,3327.0,13.736098587315901,3198.0,12.101313320825517,2979.0,12.084592145015106,3179.0,9.877319911921987,2924.0,8.378932968536251,8606.0,52.8119916337439,42681.0,21.238958787282396
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,11651,389,965,1069,1052,911,775,693,641,537,443,4176,comuna,comuna,Mujer,4498.0,8.648288128056913,5275.0,18.29383886255924,5840.0,18.304794520547947,5681.0,18.51786657278648,4903.0,18.580460942280236,4940.0,15.688259109311742,4787.0,14.476707750156676,4446.0,14.417453891138102,4188.0,12.822349570200572,3869.0,11.449987076764021,10070.0,41.469712015888774,58497.0,19.91726071422466
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,7325,33,601,722,847,657,589,423,357,269,181,2646,comuna,comuna,Mujer,3646.0,0.9051014810751509,4393.0,13.680855907124972,4822.0,14.973040232268769,5046.0,16.78557273087594,4254.0,15.444287729196052,3975.0,14.817610062893083,3695.0,11.447902571041949,3589.0,9.94706046252438,3828.0,7.027168234064786,3405.0,5.3157121879588844,8706.0,30.392832529290143,49359.0,14.840252031037906
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,724,8,55,83,81,54,46,30,25,20,10,312,comuna,comuna,Mujer,191.0,4.18848167539267,217.0,25.34562211981567,314.0,26.43312101910828,370.0,21.891891891891895,262.0,20.610687022900763,241.0,19.08713692946058,207.0,14.492753623188406,208.0,12.01923076923077,204.0,9.803921568627452,214.0,4.672897196261682,484.0,64.46280991735537,2912.0,24.862637362637365
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,703,4,27,39,44,54,41,35,31,22,25,381,comuna,comuna,Mujer,45.0,8.88888888888889,56.0,48.214285714285715,64.0,60.9375,75.0,58.666666666666664,87.0,62.06896551724138,63.0,65.07936507936508,54.0,64.81481481481481,51.0,60.78431372549019,53.0,41.509433962264154,69.0,36.231884057971016,171.0,222.80701754385964,788.0,89.21319796954315
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,1253,8,86,94,79,91,66,74,48,44,48,615,comuna,comuna,Mujer,491.0,1.6293279022403258,511.0,16.829745596868882,624.0,15.064102564102564,653.0,12.098009188361408,570.0,15.964912280701753,508.0,12.992125984251967,461.0,16.052060737527114,476.0,10.084033613445378,521.0,8.445297504798464,429.0,11.188811188811188,1092.0,56.31868131868132,6336.0,19.775883838383837
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,485,4,30,30,39,44,47,23,24,14,12,218,comuna,comuna,Mujer,443.0,0.9029345372460496,552.0,5.434782608695652,601.0,4.9916805324459235,534.0,7.303370786516854,473.0,9.30232558139535,400.0,11.75,349.0,6.59025787965616,347.0,6.9164265129683,301.0,4.651162790697675,294.0,4.081632653061225,843.0,25.86002372479241,5137.0,9.441308156511582
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,4276,15,260,412,365,365,331,288,231,216,120,1673,comuna,comuna,Mujer,1887.0,0.7949125596184419,2041.0,12.738853503184714,2343.0,17.584293640631667,2535.0,14.398422090729785,2093.0,17.43908265647396,1884.0,17.569002123142248,1819.0,15.83287520615723,1898.0,12.170706006322444,2156.0,10.018552875695732,1827.0,6.568144499178982,4338.0,38.56615952051637,24821.0,17.227347810321906
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,2238,18,178,166,203,178,161,149,127,97,87,874,comuna,comuna,Mujer,1084.0,1.6605166051660518,1176.0,15.136054421768709,1234.0,13.452188006482983,1390.0,14.604316546762591,1229.0,14.483319772172498,1133.0,14.210061782877318,1055.0,14.123222748815165,1009.0,12.586719524281467,1071.0,9.056956115779645,940.0,9.25531914893617,2151.0,40.63226406322641,13472.0,16.61223277909739
