Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19_Hombre,15_19_Mujer,20_24_Hombre,20_24_Mujer,20_54_Hombre,20_54_Mujer,20_64_Hombre,20_64_Mujer,25_29_Hombre,25_29_Mujer,30_34_Hombre,30_34_Mujer,35_39_Hombre,35_39_Mujer,40_44_Hombre,40_44_Mujer,45_49_Hombre,45_49_Mujer,50_54_Hombre,50_54_Mujer,55_59_Hombre,55_59_Mujer,60_64_Hombre,60_64_Mujer,65_mas_Hombre,65_mas_Mujer,total_15_mas_Hombre,total_15_mas_Mujer,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,109311,13302,Lampa,Centro de Salud Familiar  José Bauza Frau,Servicio de Salud Metropolitano Norte,<NA>,1624.0,1659.0,1529.0,1669.0,9486.0,11476.0,11288.0,13503.0,1508.0,1908.0,1559.0,2034.0,1381.0,1688.0,1217.0,1582.0,1160.0,1385.0,1132.0,1210.0,1010.0,1113.0,792.0,914.0,1513.0,1667.0,14425.0,16829.0,09-311,109311,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Bauza Frau,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109312,13302,Lampa,Centro de Salud Familiar Batuco,Servicio de Salud Metropolitano Norte,<NA>,584.0,516.0,531.0,548.0,3398.0,3882.0,4219.0,4681.0,547.0,670.0,560.0,710.0,488.0,519.0,429.0,529.0,427.0,448.0,416.0,458.0,432.0,433.0,389.0,366.0,753.0,794.0,5556.0,5991.0,09-312,109312,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Batuco,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109313,13125,Quilicura,Centro de Salud Familiar  Irene Frei de Cid,Servicio de Salud Metropolitano Norte,<NA>,1586.0,1486.0,1570.0,1714.0,10646.0,12175.0,12930.0,14757.0,1633.0,2054.0,1811.0,2262.0,1651.0,1875.0,1448.0,1570.0,1210.0,1278.0,1323.0,1422.0,1261.0,1411.0,1023.0,1171.0,1402.0,1765.0,15918.0,18008.0,09-313,109313,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109314,13104,Conchalí,Centro de Salud Familiar Juanita Aguirre,Servicio de Salud Metropolitano Norte,<NA>,901.0,878.0,965.0,914.0,5613.0,6672.0,7268.0,8650.0,935.0,1088.0,926.0,1102.0,727.0,986.0,687.0,885.0,646.0,805.0,727.0,892.0,878.0,1002.0,777.0,976.0,2154.0,2860.0,10323.0,12388.0,09-314,109314,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juanita Aguirre,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109315,13125,Quilicura,Centro de Salud Familiar  Manuel Bustos de Quilicura,Servicio de Salud Metropolitano Norte,<NA>,1559.0,1458.0,1669.0,1713.0,9731.0,12127.0,12055.0,15148.0,1593.0,1977.0,1468.0,1958.0,1383.0,1594.0,1165.0,1569.0,1231.0,1650.0,1222.0,1666.0,1245.0,1590.0,1079.0,1431.0,2080.0,3110.0,15694.0,19716.0,09-315,109315,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109316,13301,Colina,Centro de Salud Familiar Esmeralda,Servicio de Salud Metropolitano Norte,<NA>,2040.0,1906.0,2038.0,2112.0,12625.0,14031.0,15153.0,16796.0,2090.0,2272.0,2076.0,2296.0,1723.0,1885.0,1592.0,1853.0,1558.0,1834.0,1548.0,1779.0,1462.0,1562.0,1066.0,1203.0,1803.0,2185.0,18996.0,20887.0,09-316,109316,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Esmeralda,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109317,13107,Huechuraba,Centro de Salud Familiar El Barrero,Servicio de Salud Metropolitano Norte,<NA>,381.0,434.0,459.0,467.0,3630.0,3461.0,4221.0,4125.0,494.0,531.0,606.0,549.0,522.0,488.0,481.0,433.0,547.0,516.0,521.0,477.0,342.0,410.0,249.0,254.0,596.0,826.0,5198.0,5385.0,09-317,109317,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,109320,13303,Tiltil,Centro de Salud Familiar Huertos Familiares,Servicio de Salud Metropolitano Norte,<NA>,422.0,393.0,496.0,427.0,2782.0,2932.0,3547.0,3702.0,519.0,481.0,433.0,491.0,329.0,403.0,316.0,367.0,340.0,383.0,349.0,380.0,421.0,419.0,344.0,351.0,742.0,823.0,4711.0,4918.0,09-320,109320,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huertos Familiares,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,109321,13108,Independencia,Centro de Salud Familiar Juan Antonio Ríos,Servicio de Salud Metropolitano Norte,<NA>,711.0,688.0,743.0,881.0,4706.0,6972.0,5834.0,8537.0,737.0,1206.0,788.0,1261.0,677.0,1051.0,631.0,938.0,553.0,826.0,577.0,809.0,558.0,740.0,570.0,825.0,1668.0,2680.0,8213.0,11905.0,09-321,109321,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,109323,13107,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens (Huechuraba),Servicio de Salud Metropolitano Norte,<NA>,811.0,757.0,900.0,821.0,4916.0,5063.0,5791.0,5963.0,918.0,931.0,827.0,857.0,557.0,632.0,499.0,537.0,578.0,574.0,637.0,711.0,548.0,532.0,327.0,368.0,931.0,1338.0,7533.0,8058.0,09-323,109323,,13,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
