Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24,25_34,35_44,45_54,55_64,65_mas,total_15_mas,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_distribucion_pct,25_34_distribucion_pct,35_44_distribucion_pct,45_54_distribucion_pct,55_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Bajo peso,34,36,16,17,22,958,1083,1102,2408,1962,1650,1299,9170,17591,3.0852994555353903,1.495016611295681,0.8154943934760449,1.0303030303030303,1.6936104695919936,10.44711014176663,6.156557330453072
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Normal,402,619,411,305,336,3440,5513,1102,2408,1962,1650,1299,9170,17591,36.47912885662432,25.705980066445182,20.948012232415902,18.484848484848484,25.86605080831409,37.51363140676118,31.339889716332216
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Obesidad,333,916,829,636,382,2241,5337,1102,2408,1962,1650,1299,9170,17591,30.217785843920147,38.03986710963455,42.252803261977576,38.54545454545455,29.4072363356428,24.43838604143948,30.339378091069296
2023,comuna,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,Sobrepeso,333,837,706,692,559,2531,5658,1102,2408,1962,1650,1299,9170,17591,30.217785843920147,34.75913621262458,35.98369011213048,41.93939393939394,43.03310238645112,27.600872410032718,32.164174862145416
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Bajo peso,26,28,13,10,11,428,516,990,2325,1686,1475,1084,4908,12468,2.6262626262626263,1.2043010752688172,0.771055753262159,0.6779661016949152,1.014760147601476,8.720456397718012,4.138594802694899
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Normal,348,534,292,282,251,1724,3431,990,2325,1686,1475,1084,4908,12468,35.15151515151515,22.967741935483872,17.319098457888494,19.118644067796613,23.1549815498155,35.12632436837816,27.51844722489573
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Obesidad,329,951,758,599,387,1295,4319,990,2325,1686,1475,1084,4908,12468,33.23232323232323,40.903225806451616,44.95848161328588,40.61016949152542,35.70110701107011,26.385493072534636,34.640680141161376
2023,comuna,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,Sobrepeso,287,812,623,584,435,1461,4202,990,2325,1686,1475,1084,4908,12468,28.98989898989899,34.924731182795696,36.95136417556346,39.593220338983045,40.12915129151292,29.767726161369197,33.702277831248
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Bajo peso,7,14,5,8,8,628,672,292,946,976,755,482,3696,7154,2.3972602739726026,1.4799154334038054,0.5122950819672131,1.0596026490066226,1.6597510373443984,16.99134199134199,9.393346379647749
2023,comuna,9,Servicio de Salud Metropolitano Norte,13108,Independencia,Normal,103,259,190,136,124,1469,2284,292,946,976,755,482,3696,7154,35.273972602739725,27.378435517970402,19.4672131147541,18.013245033112582,25.72614107883817,39.745670995671,31.926195135588483
