Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,factor_riesgo,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,140,34,106,0,4,1,8,7,9,9,10,12,15,65,0,0,1,2,3,1,2,0,2,3,14,20,0,4,0,6,4,8,7,10,10,12,61,45,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,265,112,153,0,5,16,19,18,13,11,14,13,10,146,0,1,4,8,5,4,3,6,5,5,41,71,0,4,12,11,13,9,8,8,8,5,78,75,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,340,151,189,0,3,13,11,14,15,12,17,22,17,216,0,3,4,6,4,5,7,6,13,10,58,93,0,0,9,5,10,10,5,11,9,7,66,123,0.0,0.0
2023,13,9,13107,109718,109305,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,374,118,256,0,30,58,37,49,39,23,21,11,20,86,0,9,14,12,13,12,8,5,4,5,82,36,0,21,44,25,36,27,15,16,7,15,206,50,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,126,25,101,1,1,2,2,3,4,12,9,12,10,70,1,0,0,1,2,0,2,2,2,2,11,13,0,1,2,1,1,4,10,7,10,8,44,57,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,616,183,433,1,19,33,35,23,18,31,31,36,32,357,0,10,4,9,9,6,6,10,9,9,72,111,1,9,29,26,14,12,25,21,27,23,186,246,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,235,90,145,0,3,8,4,6,10,10,10,9,7,168,0,3,3,2,3,4,3,3,5,4,30,60,0,0,5,2,3,6,7,7,4,3,37,108,0.0,0.0
2023,13,9,13107,200961,,09,Servicio de Salud Metropolitano Norte,Municipal,13107,Huechuraba,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Victor Castro Wiren,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,260,79,181,0,19,28,19,14,10,19,22,14,14,101,0,6,6,6,9,1,5,5,7,4,49,30,0,13,22,13,5,9,14,17,7,10,110,71,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,181,41,140,0,3,6,11,6,7,13,11,6,8,110,0,3,1,4,1,3,2,4,1,0,19,22,0,0,5,7,5,4,11,7,5,8,52,88,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,241,96,145,0,0,2,3,4,6,4,8,9,7,198,0,0,0,1,3,2,1,2,5,4,18,78,0,0,2,2,1,4,3,6,4,3,25,120,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,755,288,467,2,7,23,27,41,49,58,36,33,36,443,0,5,9,11,19,25,25,16,10,15,135,153,2,2,14,16,22,24,33,20,23,21,175,290,0.0,0.0
2023,13,9,13108,109300,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,463,195,268,4,30,48,42,57,42,29,35,24,26,126,0,9,21,21,30,16,8,17,9,10,141,54,4,21,27,21,27,26,21,18,15,16,192,72,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,42,15,27,0,2,0,4,6,4,3,6,3,2,12,0,0,0,3,1,3,1,3,2,0,13,2,0,2,0,1,5,1,2,3,1,2,17,10,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,39,11,28,0,0,0,1,0,1,1,2,3,1,30,0,0,0,1,0,0,0,1,1,0,3,8,0,0,0,0,0,1,1,1,2,1,6,22,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,363,140,223,0,2,4,1,5,4,7,9,12,16,303,0,1,4,1,5,3,2,2,6,7,31,109,0,1,0,0,0,1,5,7,6,9,29,194,0.0,0.0
2023,13,9,13108,109321,,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,283,97,186,2,15,16,25,28,15,20,21,18,11,112,0,7,6,10,7,5,5,5,9,5,59,38,2,8,10,15,21,10,15,16,9,6,110,74,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,21,7,14,0,2,1,2,0,2,4,0,1,1,8,0,0,1,0,0,0,1,0,1,1,4,3,0,2,0,2,0,2,3,0,0,0,9,5,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,9,5,4,0,0,0,1,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1,0,1,2,3,0,0,0,1,1,0,0,0,0,0,2,2,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,25,19,6,0,0,0,1,0,0,1,1,2,0,23,0,0,0,0,0,0,1,1,1,0,3,16,0,0,0,1,0,0,0,0,1,0,2,7,0.0,0.0
2023,13,9,13108,200554,109300,09,Servicio de Salud Metropolitano Norte,Municipal,13108,Independencia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Las Enredaderas,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,40,11,29,1,2,4,3,4,3,3,0,6,1,13,1,0,1,0,0,0,1,0,2,0,4,6,0,2,3,3,4,3,2,0,4,1,22,7,0.0,0.0
2023,13,9,13125,109313,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,143,49,94,0,0,1,4,2,5,4,15,7,7,98,0,0,1,1,1,0,1,7,2,2,15,34,0,0,0,3,1,5,3,8,5,5,30,64,0.0,0.0
2023,13,9,13125,109313,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Primario,Vigente en Operación Habitual,True,False,Glicemia alterada,257,105,152,7,0,2,7,1,2,2,6,7,9,214,7,0,1,5,0,0,1,3,3,5,18,80,0,0,1,2,1,2,1,3,4,4,18,134,0.0,0.0
2023,13,9,13125,109313,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Primario,Vigente en Operación Habitual,True,False,Presion arterial elevada,613,231,382,1,22,19,34,50,35,48,47,35,30,292,1,2,5,14,13,11,17,16,11,14,103,127,0,20,14,20,37,24,31,31,24,16,217,165,0.0,0.0
2023,13,9,13125,109313,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Irene Frei de Cid,Primario,Vigente en Operación Habitual,True,False,Tabaquismo,991,236,755,4,101,134,131,108,96,75,79,45,43,175,1,8,21,26,12,19,12,19,12,17,146,89,3,93,113,105,96,77,63,60,33,26,666,86,0.0,0.0
2023,13,9,13125,109315,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Primario,Vigente en Operación Habitual,True,False,Colesterol elevado,174,61,113,0,3,6,3,9,10,18,25,26,18,56,0,2,2,2,2,3,4,8,11,5,39,22,0,1,4,1,7,7,14,17,15,13,79,34,0.0,0.0
