Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,20_64,20_54,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2025,113703,<NA>,Pedro Aguirre Cerda,Centro Comunitario De Salud Familiar Cooperación,Metropolitano Sur,Municipal,337,271,331,391,322,295,258,263,281,402,987,4138,2814,2131,13-703,113703,111303,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. Miguel Enríquez Espinosa,Municipal,Primario,13121,Pedro Aguirre Cerda,Vigente en Operación Habitual,True,False
2025,113713,<NA>,San Bernardo,Centro Comunitario De Salud Familiar Cerrillos De Nos,Metropolitano Sur,Municipal,373,365,293,294,298,272,260,280,252,175,371,3233,2489,2062,13-713,113713,113328,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Ribera del Maipo,Municipal,Primario,13401,San Bernardo,Vigente en Operación Habitual,True,False
2025,113716,<NA>,San Bernardo,Centro Comunitario De Salud Familiar Rapa Nui,Metropolitano Sur,Municipal,482,476,502,462,380,327,346,393,343,378,742,4831,3607,2886,13-716,113716,113316,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Rapa Nui,Municipal,Primario,13401,San Bernardo,Vigente en Operación Habitual,True,False
2025,113717,<NA>,El Bosque,Centro Comunitario De Salud Familiar Santa Laura,Metropolitano Sur,Municipal,247,249,267,346,323,246,210,204,241,365,539,3237,2451,1845,13-717,113717,113317,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Santa Laura,Municipal,Primario,13105,El Bosque,Vigente en Operación Habitual,True,False
2025,113722,<NA>,San Joaquín,Centro Comunitario De Salud Familiar Juan Aravena,Metropolitano Sur,Municipal,345,375,467,448,433,390,347,342,408,423,1092,5070,3633,2802,13-722,113722,113322,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. Salvador Allende,Municipal,Primario,13129,San Joaquín,Vigente en Operación Habitual,True,False
2025,113728,<NA>,San Bernardo,Centro Comunitario De Salud Familiar Lo Herrera,Metropolitano Sur,Municipal,376,400,416,363,370,374,316,343,339,338,724,4359,3259,2582,13-728,113728,113313,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Lo Herrera,Municipal,Primario,13401,San Bernardo,Vigente en Operación Habitual,True,False
2025,113753,<NA>,San Joaquín,Centro Comunitario De Salud Familiar Reverendo Javier Peró,Metropolitano Sur,Municipal,128,194,199,216,196,165,165,200,226,220,663,2572,1781,1335,13-753,113753,113301,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Reverendo Javier Peró,Municipal,Primario,13129,San Joaquín,Vigente en Operación Habitual,True,False
2025,113790,<NA>,Buin,Centro Comunitario De Salud Familiar Dr. Héctor García,Metropolitano Sur,Municipal,459,508,497,579,488,360,306,401,357,322,487,4764,3818,3139,13-790,113790,113390,13,13,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. Héctor García,Municipal,Primario,13402,Buin,Vigente en Operación Habitual,True,False
2025,114010,<NA>,Puente Alto,Actividades Gestionadas Por La Dirección Del Servicio Para Apoyo De La Red (S.S Metropolitano Sur Oriente),Metropolitano Sur Oriente,Servicio de Salud,0,0,1,0,0,0,0,1,0,0,0,2,2,2,14-010,114010,,13,14,Servicio de Salud Metropolitano Sur Oriente,Otro,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur Oriente),Servicio de Salud,No Aplica,13201,Puente Alto,Vigente en Operación Habitual,False,False
2025,114102,<NA>,San José De Maipo,Hospital San José De Maipo,Metropolitano Sur Oriente,Servicio de Salud,495,478,467,513,415,436,413,465,445,500,1254,5881,4132,3187,14-102,114102,,13,14,Servicio de Salud Metropolitano Sur Oriente,Hospital,Hospital San José de Maipo,Servicio de Salud,Terciario,13203,San José de Maipo,Vigente en Operación Habitual,False,False
