Ano,nivel_geografico_x,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,nivel_geografico_y,nivel_geografico,sexo,15_19_denominador,15_19_cobertura_pct,20_24_denominador,20_24_cobertura_pct,25_29_denominador,25_29_cobertura_pct,30_34_denominador,30_34_cobertura_pct,35_39_denominador,35_39_cobertura_pct,40_44_denominador,40_44_cobertura_pct,45_49_denominador,45_49_cobertura_pct,50_54_denominador,50_54_cobertura_pct,55_59_denominador,55_59_cobertura_pct,60_64_denominador,60_64_cobertura_pct,65_mas_denominador,65_mas_cobertura_pct,total_15_mas_denominador,total_15_mas_cobertura_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,1845.0,986.0,5.0,48.0,78.0,62.0,35.0,45.0,65.0,55.0,55.0,411.0,establecimiento,establecimiento,Mujer,171.0,576.6081871345028,240.0,2.083333333333333,212.0,22.641509433962266,206.0,37.86407766990291,175.0,35.42857142857142,233.0,15.021459227467812,251.0,17.928286852589643,254.0,25.590551181102363,256.0,21.484375,266.0,20.676691729323306,896.0,45.870535714285715,3160.0,58.38607594936709
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,109300,Centro de Salud Familiar Agustín Cruz Melo,Centro de Salud Familiar (CESFAM),Municipal,5585.0,3024.0,21.0,98.0,223.0,267.0,248.0,214.0,248.0,143.0,116.0,983.0,establecimiento,establecimiento,Mujer,1537.0,196.74690956408588,1941.0,1.0819165378670788,3401.0,2.881505439576595,3660.0,6.092896174863388,3197.0,8.351579605880513,2567.0,9.661082976236852,2194.0,9.753874202370099,1891.0,13.114754098360656,1890.0,7.5661375661375665,1628.0,7.125307125307126,4593.0,21.402133681689527,28499.0,19.597178848380644
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,109321,Centro de Salud Familiar Juan Antonio Ríos,Centro de Salud Familiar (CESFAM),Municipal,3319.0,1851.0,9.0,80.0,96.0,97.0,121.0,89.0,72.0,80.0,52.0,772.0,establecimiento,establecimiento,Mujer,688.0,269.0406976744186,881.0,1.0215664018161181,1206.0,6.633499170812604,1261.0,7.613005551149881,1051.0,9.229305423406279,938.0,12.899786780383796,826.0,10.774818401937045,809.0,8.899876390605685,740.0,10.81081081081081,825.0,6.303030303030304,2680.0,28.805970149253728,11905.0,27.879042419151617
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,200554,Centro Comunitario de Salud Familiar Las Enredaderas,Centro Comunitario de Salud Familiar (CECOSF),Municipal,259.0,136.0,1.0,9.0,4.0,14.0,14.0,11.0,11.0,9.0,6.0,44.0,establecimiento,establecimiento,Mujer,0.0,,0.0,,2.0,450.0,3.0,133.33333333333331,2.0,700.0,0.0,,1.0,1100.0,2.0,550.0,0.0,,1.0,600.0,2.0,2200.0,13.0,1992.3076923076924
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109313,Centro de Salud Familiar Irene Frei de Cid,Centro de Salud Familiar (CESFAM),Municipal,5644.0,2871.0,8.0,362.0,374.0,373.0,332.0,230.0,178.0,163.0,117.0,636.0,establecimiento,establecimiento,Mujer,1486.0,193.20323014804845,1714.0,0.4667444574095682,2054.0,17.62414800389484,2262.0,16.534040671971706,1875.0,19.89333333333333,1570.0,21.146496815286625,1278.0,17.996870109546165,1422.0,12.517580872011253,1411.0,11.552090715804395,1171.0,9.991460290350128,1765.0,36.03399433427762,18008.0,31.341625944024877
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109315,Centro de Salud Familiar Manuel Bustos Huerta,Centro de Salud Familiar (CESFAM),Municipal,4934.0,2536.0,0.0,254.0,270.0,207.0,167.0,177.0,169.0,181.0,136.0,837.0,establecimiento,establecimiento,Mujer,1458.0,173.93689986282578,1713.0,0.0,1977.0,12.847749114820434,1958.0,13.789581205311544,1594.0,12.986198243412797,1569.0,10.64372211599745,1650.0,10.727272727272727,1666.0,10.14405762304922,1590.0,11.383647798742139,1431.0,9.503843466107616,3110.0,26.913183279742764,19716.0,25.02536011361331
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109324,Centro de Salud Familiar Presidente Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,5841.0,2993.0,0.0,271.0,320.0,327.0,315.0,273.0,264.0,246.0,166.0,666.0,establecimiento,establecimiento,Mujer,2044.0,146.42857142857142,2412.0,0.0,2680.0,10.111940298507463,2550.0,12.549019607843137,2160.0,15.138888888888888,2063.0,15.269025690741639,2251.0,12.12794313638383,2171.0,12.160294795025333,1861.0,13.218699623858141,1405.0,11.814946619217082,2448.0,27.205882352941174,24045.0,24.29195258889582
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109713,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,609.0,313.0,1.0,45.0,43.0,41.0,20.0,17.0,33.0,26.0,15.0,55.0,establecimiento,establecimiento,Mujer,69.0,453.62318840579707,103.0,0.9708737864077669,99.0,45.45454545454545,85.0,50.588235294117645,55.0,74.54545454545455,51.0,39.21568627450981,100.0,17.0,127.0,25.984251968503933,110.0,23.636363636363637,60.0,25.0,78.0,70.51282051282051,937.0,64.99466382070437
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,650.0,330.0,0.0,32.0,26.0,48.0,55.0,26.0,21.0,13.0,15.0,84.0,establecimiento,establecimiento,Mujer,97.0,340.2061855670103,96.0,0.0,191.0,16.75392670157068,215.0,12.093023255813954,175.0,27.42857142857143,137.0,40.14598540145985,88.0,29.545454545454547,94.0,22.340425531914892,85.0,15.294117647058824,80.0,18.75,180.0,46.666666666666664,1438.0,45.20166898470097
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,650.0,329.0,0.0,57.0,48.0,55.0,35.0,40.0,13.0,13.0,10.0,50.0,establecimiento,establecimiento,Mujer,68.0,483.8235294117647,76.0,0.0,76.0,75.0,95.0,50.526315789473685,59.0,93.22033898305084,57.0,61.40350877192983,53.0,75.47169811320755,56.0,23.214285714285715,80.0,16.25,69.0,14.492753623188406,90.0,55.55555555555556,779.0,83.4403080872914
