Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,6,23,47,47,59,61,41,41,45,27,758,1155,6.0,194.0,225.0,225.0,177.0,162.0,178.0,196.0,166.0,104.0,1959.0,3592.0,100.0,11.855670103092782,20.88888888888889,20.88888888888889,33.33333333333333,37.65432098765432,23.03370786516854,20.918367346938776,27.10843373493976,25.961538461538463,38.693210821847885,32.15478841870824
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109309,Centro de Salud Familiar José Symon Ojeda,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,5,48,64,54,40,49,51,51,39,30,195,626,6.0,194.0,225.0,225.0,177.0,162.0,178.0,196.0,166.0,104.0,1959.0,3592.0,83.33333333333334,24.742268041237114,28.444444444444443,24.0,22.598870056497177,30.246913580246915,28.651685393258425,26.02040816326531,23.49397590361446,28.846153846153843,9.95405819295559,17.42761692650334
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,0,7,16,14,16,26,27,21,29,20,83,259,0.0,284.0,349.0,294.0,273.0,226.0,191.0,156.0,139.0,125.0,2327.0,4364.0,,2.464788732394366,4.584527220630372,4.761904761904762,5.86080586080586,11.504424778761061,14.136125654450263,13.461538461538462,20.863309352517987,16.0,3.5668242372152985,5.9349220898258475
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,0,10,21,23,19,17,17,19,24,24,272,446,0.0,284.0,349.0,294.0,273.0,226.0,191.0,156.0,139.0,125.0,2327.0,4364.0,,3.5211267605633805,6.017191977077363,7.8231292517006805,6.95970695970696,7.52212389380531,8.900523560209423,12.179487179487179,17.26618705035971,19.2,11.688869789428448,10.219981668194317
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,0,11,18,16,16,23,24,25,23,23,355,534,0.0,284.0,349.0,294.0,273.0,226.0,191.0,156.0,139.0,125.0,2327.0,4364.0,,3.873239436619718,5.157593123209169,5.442176870748299,5.86080586080586,10.176991150442479,12.56544502617801,16.025641025641026,16.546762589928058,18.4,15.255694026643749,12.23648029330889
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109314,Centro de Salud Familiar Juanita Aguirre,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,0,70,111,93,88,89,64,66,54,39,306,980,0.0,284.0,349.0,294.0,273.0,226.0,191.0,156.0,139.0,125.0,2327.0,4364.0,,24.647887323943664,31.805157593123205,31.63265306122449,32.234432234432234,39.38053097345133,33.50785340314136,42.30769230769231,38.84892086330935,31.2,13.149978513107005,22.45646196150321
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,0,2,6,14,9,9,15,18,8,11,19,111,4.0,70.0,72.0,100.0,79.0,64.0,65.0,66.0,44.0,41.0,583.0,1188.0,0.0,2.857142857142857,8.333333333333332,14.000000000000002,11.39240506329114,14.0625,23.076923076923077,27.27272727272727,18.181818181818183,26.82926829268293,3.2590051457975986,9.343434343434344
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,1,3,11,5,11,9,7,9,3,2,63,124,4.0,70.0,72.0,100.0,79.0,64.0,65.0,66.0,44.0,41.0,583.0,1188.0,25.0,4.285714285714286,15.277777777777779,5.0,13.924050632911392,14.0625,10.76923076923077,13.636363636363635,6.8181818181818175,4.878048780487805,10.806174957118353,10.437710437710438
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,1,10,13,8,13,14,21,14,11,18,244,367,4.0,70.0,72.0,100.0,79.0,64.0,65.0,66.0,44.0,41.0,583.0,1188.0,25.0,14.285714285714285,18.055555555555554,8.0,16.455696202531644,21.875,32.30769230769231,21.21212121212121,25.0,43.90243902439025,41.852487135506,30.892255892255893
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13104,Conchalí,109709,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,2,8,26,23,20,16,23,24,16,18,83,259,4.0,70.0,72.0,100.0,79.0,64.0,65.0,66.0,44.0,41.0,583.0,1188.0,50.0,11.428571428571429,36.11111111111111,23.0,25.31645569620253,25.0,35.38461538461539,36.36363636363637,36.36363636363637,43.90243902439025,14.236706689536879,21.801346801346803
