Ano,nivel_geografico,IdServicio_master,servicio_salud_master,profesional,total_ambos_sexos,proporcion_profesional_pct,sexo
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Matrona/on,651,1.5670887294786,Hombre
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Medico/a,272,0.6547590390448221,Hombre
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Nutricionista,4992,12.01675412835203,Hombre
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Otro profesional capacitado en EMP y EMPAM,4912,11.82417794039767,Hombre
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,Tecnico en enfermeria,3056,7.356410379856531,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Enfermera/o,17709,27.237491732931385,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Matrona/on,666,1.0243474783518158,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Medico/a,1056,1.6241905963055816,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Nutricionista,3731,5.738499161757694,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Otro profesional capacitado en EMP y EMPAM,12199,18.76278511773844,Hombre
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,Tecnico en enfermeria,29656,45.61268591291508,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Enfermera/o,17896,40.63763113674554,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Matrona/on,1187,2.6953994277669286,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Medico/a,661,1.5009764294472956,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Nutricionista,8006,18.179753848948636,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Otro profesional capacitado en EMP y EMPAM,12417,28.196103365275444,Hombre
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,Tecnico en enfermeria,3871,8.790135791816159,Hombre
