Ano,nivel_geografico_x,IdServicio_master,servicio_salud_master,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,nivel_geografico_y,nivel_geografico,sexo,15_19_denominador,15_19_cobertura_pct,20_24_denominador,20_24_cobertura_pct,25_29_denominador,25_29_cobertura_pct,30_34_denominador,30_34_cobertura_pct,35_39_denominador,35_39_cobertura_pct,40_44_denominador,40_44_cobertura_pct,45_49_denominador,45_49_cobertura_pct,50_54_denominador,50_54_cobertura_pct,55_59_denominador,55_59_cobertura_pct,60_64_denominador,60_64_cobertura_pct,65_mas_denominador,65_mas_cobertura_pct,total_15_mas_denominador,total_15_mas_cobertura_pct
2023,servicio_salud,9,Servicio de Salud Metropolitano Norte,30933,147,1885,2044,2180,1984,1960,1646,1711,1494,1256,14619,servicio_salud,servicio_salud,Hombre,25010.0,0.5877648940423831,26081.0,7.227483608757333,27118.0,7.537429013939081,27692.0,7.872309692329916,23737.0,8.35825925769895,21701.0,9.031841850605963,20880.0,7.883141762452108,21141.0,8.093278463648835,21002.0,7.11360822778783,17701.0,7.095644313880571,39456.0,37.051399026763995,271519.0,11.392572895451147
2023,servicio_salud,10,Servicio de Salud Metropolitano Occidente,44473,695,2608,2943,3272,2827,2606,2353,2370,2148,1891,20760,servicio_salud,servicio_salud,Hombre,35923.0,1.9346936503076024,38877.0,6.708336548602,40846.0,7.205111883660578,40210.0,8.13727928376026,34166.0,8.27430779137154,32292.0,8.070110244023287,32481.0,7.244235091284135,33088.0,7.162717601547389,33685.0,6.376725545495028,29208.0,6.4742536291427015,63617.0,32.632786833707975,414393.0,10.732082829584478
2023,servicio_salud,11,Servicio de Salud Metropolitano Central,27579,224,1545,1769,1776,1625,1533,1405,1418,1465,1475,13344,servicio_salud,servicio_salud,Hombre,20360.0,1.100196463654224,20631.0,7.488730551112403,21112.0,8.379120879120878,20760.0,8.554913294797688,17633.0,9.215675154539783,15783.0,9.712982322752328,14810.0,9.48683322079676,14898.0,9.518056114914755,16789.0,8.725951515873488,16218.0,9.094832901714145,38329.0,34.814370320123146,217323.0,12.690327300837922
2023,servicio_salud,12,Servicio de Salud Metropolitano Oriente,33792,494,1691,1757,1973,1688,1625,1516,1504,1514,1505,18525,servicio_salud,servicio_salud,Hombre,17034.0,2.900082188564048,19510.0,8.667350076883649,21777.0,8.068145290903246,21790.0,9.054612207434603,17998.0,9.378819868874318,17245.0,9.423021165555232,17277.0,8.774671528621868,17839.0,8.430965861315096,18265.0,8.289077470572133,16636.0,9.046645828324117,45307.0,40.887721544132255,230678.0,14.64899123453472
2023,servicio_salud,13,Servicio de Salud Metropolitano Sur,49349,521,3174,3671,3842,3441,3114,2659,2466,2290,2191,21980,servicio_salud,servicio_salud,Hombre,33548.0,1.552998688446405,37131.0,8.54811343621233,39532.0,9.286147930790246,40070.0,9.58822061392563,34014.0,10.116422649497265,31749.0,9.808182934895587,29466.0,9.023959818095433,29969.0,8.228502786212418,31406.0,7.291600331146915,29219.0,7.498545466990657,60930.0,36.07418348924996,397034.0,12.429414105592972
2023,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,35722,445,1933,1899,2083,1762,1792,1585,1510,1449,1514,19750,servicio_salud,servicio_salud,Hombre,38744.0,1.1485649390873427,42123.0,4.588941908221162,43209.0,4.39491772547386,41800.0,4.983253588516747,34982.0,5.036876107712538,33519.0,5.346221545988842,32284.0,4.909552719613431,32886.0,4.591619534148269,34443.0,4.206950614058009,31980.0,4.7342088805503435,67305.0,29.344030904093305,433275.0,8.244648318042813
2024,servicio_salud,9,Servicio de Salud Metropolitano Norte,38263,147,2482,2748,2949,2808,2511,2308,2432,2132,2104,15642,servicio_salud,servicio_salud,Hombre,26870.0,0.5470785262374396,27119.0,9.152254876654744,28812.0,9.537692628071637,30036.0,9.81821813823412,26620.0,10.548459804658151,23984.0,10.469479653102068,21502.0,10.733885219979538,22330.0,10.89117778772951,21542.0,9.896945501810418,19045.0,11.047519033867156,40809.0,38.3297801955451,288669.0,13.254973689589114
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,57046,1120,3582,4244,4394,3995,3761,3221,3172,2954,2752,23851,servicio_salud,servicio_salud,Hombre,37400.0,2.9946524064171123,39420.0,9.08675799086758,42725.0,9.93329432416618,43342.0,10.137972405518896,37188.0,10.74271270302248,34411.0,10.929644590392606,32569.0,9.889772483036015,34052.0,9.315165041700928,33721.0,8.760119806648676,30810.0,8.932164881531971,66259.0,35.99661932718574,431897.0,13.208241779868812
2024,servicio_salud,11,Servicio de Salud Metropolitano Central,34577,302,2519,2449,2432,2314,2102,1744,1708,1735,1689,15583,servicio_salud,servicio_salud,Hombre,21842.0,1.3826572658181486,21487.0,11.723367617629265,22874.0,10.706478971758328,23139.0,10.510393707593241,20402.0,11.342025291638075,17942.0,11.715527811838145,15733.0,11.08498061399606,15676.0,10.89563664200051,17061.0,10.169392180997598,17538.0,9.630516592541909,40608.0,38.37421197793538,234302.0,14.757449787027
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,41542,409,2441,2559,2794,2448,2257,2089,2053,1922,2022,20548,servicio_salud,servicio_salud,Hombre,17809.0,2.296591610983211,19987.0,12.212938409966478,22833.0,11.207462882669821,23730.0,11.774125579435314,20156.0,12.145266918039294,18456.0,12.229085392284352,17846.0,11.705704359520341,18443.0,11.131594642953967,18642.0,10.310052569466796,17790.0,11.36593591905565,47152.0,43.57821513403461,242844.0,17.10645517286818
