Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,profesional,total_ambos_sexos,proporcion_profesional_pct
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Enfermera/o,10757,37.85543355855856
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Matrona/on,2,0.007038288288288288
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Medico/a,75,0.2639358108108108
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Tecnico en enfermeria,17582,61.87359234234234
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Enfermera/o,9506,70.94559295469811
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Matrona/on,1364,10.179864168967834
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Medico/a,167,1.2463616687812522
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Nutricionista,862,6.4333159190984395
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Otro profesional capacitado en EMP y EMPAM,67,0.5000373162176281
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Tecnico en enfermeria,1433,10.694827972236734
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Enfermera/o,9227,54.94224127664642
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Matrona/on,778,4.632606883410742
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Medico/a,7,0.04168155293557223
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Nutricionista,1498,8.919852328212457
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Otro profesional capacitado en EMP y EMPAM,1759,10.473978801953079
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Tecnico en enfermeria,3525,20.98963915684173
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Enfermera/o,4409,39.5496950125583
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Matrona/on,97,0.8701112307140294
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Medico/a,10,0.0897021887334051
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Nutricionista,511,4.583781844277
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Otro profesional capacitado en EMP y EMPAM,49,0.43954072479368494
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Tecnico en enfermeria,6072,54.467168998923576
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Enfermera/o,556,43.74508261211644
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Matrona/on,1,0.07867820613690008
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Medico/a,6,0.47206923682140045
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Nutricionista,45,3.540519276160504
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Otro profesional capacitado en EMP y EMPAM,37,2.911093627065303
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Tecnico en enfermeria,626,49.252557041699454
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Enfermera/o,721,70.41015625
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Tecnico en enfermeria,303,29.58984375
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Enfermera/o,1668,80.57971014492755
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Nutricionista,5,0.24154589371980675
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Otro profesional capacitado en EMP y EMPAM,20,0.966183574879227
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Tecnico en enfermeria,377,18.21256038647343
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Enfermera/o,794,71.98549410698097
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Matrona/on,5,0.45330915684496825
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Nutricionista,53,4.805077062556664
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Tecnico en enfermeria,251,22.756119673617405
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Enfermera/o,2623,40.824902723735406
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,Tecnico en enfermeria,3802,59.17509727626459
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Enfermera/o,2905,83.2378223495702
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Matrona/on,13,0.37249283667621774
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Nutricionista,17,0.4871060171919771
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Otro profesional capacitado en EMP y EMPAM,13,0.37249283667621774
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,Tecnico en enfermeria,542,15.530085959885387
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Enfermera/o,1665,46.41761918037357
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,Tecnico en enfermeria,1922,53.58238081962643
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Enfermera/o,2759,41.91735034943786
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,Tecnico en enfermeria,3823,58.08264965056213
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Enfermera/o,3091,33.08713337615072
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Medico/a,8,0.08563476771569258
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Otro profesional capacitado en EMP y EMPAM,1,0.010704345964461572
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,Tecnico en enfermeria,6242,66.81652751016914
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Enfermera/o,19873,71.48818302816649
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Matrona/on,1722,6.1944674268858595
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Medico/a,270,0.9712579589193856
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Nutricionista,2555,9.190978092737149
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Otro profesional capacitado en EMP y EMPAM,3365,12.104751969495306
2023,comuna,11,Servicio de Salud Metropolitano Central,13101,Santiago,Tecnico en enfermeria,14,0.05036152379581999
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Enfermera/o,1370,24.936294139060795
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Matrona/on,239,4.3502002184200945
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Medico/a,106,1.9293775027302513
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Nutricionista,1246,22.67928649435748
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Otro profesional capacitado en EMP y EMPAM,1398,25.44594102657444
2023,comuna,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,Tecnico en enfermeria,1135,20.658900618856933
