Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,sexo,15_24,15_24_distribucion_pct,25_34,25_34_distribucion_pct,35_44,35_44_distribucion_pct,45_54,45_54_distribucion_pct,55_64,55_64_distribucion_pct,65_mas,65_mas_distribucion_pct,total_15_mas,total_15_mas_distribucion_pct
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Bajo peso,0,0,0,0,0,0,338,Hombre,0,,0,,0,,0,,0,,0,,31,9.171597633136095
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Normal,0,0,0,0,0,0,338,Hombre,0,,0,,0,,0,,0,,0,,101,29.88165680473373
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Obesidad,0,0,0,0,0,0,338,Hombre,0,,0,,0,,0,,0,,0,,86,25.443786982248522
2023,comuna,9,Servicio de Salud Metropolitano Norte,13303,Tiltil,Sobrepeso,0,0,0,0,0,0,338,Hombre,0,,0,,0,,0,,0,,0,,120,35.50295857988166
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Bajo peso,0,0,0,0,0,0,3494,Hombre,0,,0,,0,,0,,0,,0,,259,7.412707498568976
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Normal,0,0,0,0,0,0,3494,Hombre,0,,0,,0,,0,,0,,0,,1187,33.97252432741843
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Obesidad,0,0,0,0,0,0,3494,Hombre,0,,0,,0,,0,,0,,0,,884,25.300515168860905
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,Sobrepeso,0,0,0,0,0,0,3494,Hombre,0,,0,,0,,0,,0,,0,,1164,33.31425300515169
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Bajo peso,0,0,0,0,0,0,5812,Hombre,0,,0,,0,,0,,0,,0,,257,4.421885753613214
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Normal,0,0,0,0,0,0,5812,Hombre,0,,0,,0,,0,,0,,0,,1933,33.25877494838266
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Obesidad,0,0,0,0,0,0,5812,Hombre,0,,0,,0,,0,,0,,0,,1497,25.757054370268413
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,Sobrepeso,0,0,0,0,0,0,5812,Hombre,0,,0,,0,,0,,0,,0,,2125,36.56228492773572
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Bajo peso,0,0,0,0,0,0,9602,Hombre,0,,0,,0,,0,,0,,0,,363,3.7804624036659034
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Normal,0,0,0,0,0,0,9602,Hombre,0,,0,,0,,0,,0,,0,,2877,29.962507810872737
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Obesidad,0,0,0,0,0,0,9602,Hombre,0,,0,,0,,0,,0,,0,,2852,29.702145386377836
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,Sobrepeso,0,0,0,0,0,0,9602,Hombre,0,,0,,0,,0,,0,,0,,3510,36.55488439908353
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Bajo peso,0,0,0,0,0,0,4329,Hombre,0,,0,,0,,0,,0,,0,,289,6.675906675906676
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Normal,0,0,0,0,0,0,4329,Hombre,0,,0,,0,,0,,0,,0,,1699,39.24693924693924
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Obesidad,0,0,0,0,0,0,4329,Hombre,0,,0,,0,,0,,0,,0,,922,21.2982212982213
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,Sobrepeso,0,0,0,0,0,0,4329,Hombre,0,,0,,0,,0,,0,,0,,1419,32.77893277893278
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Bajo peso,0,0,0,0,0,0,5143,Hombre,0,,0,,0,,0,,0,,0,,290,5.638732257437294
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Normal,0,0,0,0,0,0,5143,Hombre,0,,0,,0,,0,,0,,0,,1825,35.48512541318296
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Obesidad,0,0,0,0,0,0,5143,Hombre,0,,0,,0,,0,,0,,0,,1309,25.45207077581178
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13128,Renca,Sobrepeso,0,0,0,0,0,0,5143,Hombre,0,,0,,0,,0,,0,,0,,1719,33.424071553567956
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Bajo peso,0,0,0,0,0,0,3823,Hombre,0,,0,,0,,0,,0,,0,,166,4.3421396808788915
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Normal,0,0,0,0,0,0,3823,Hombre,0,,0,,0,,0,,0,,0,,1191,31.15354433690819
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Obesidad,0,0,0,0,0,0,3823,Hombre,0,,0,,0,,0,,0,,0,,988,25.84357834161653
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,Sobrepeso,0,0,0,0,0,0,3823,Hombre,0,,0,,0,,0,,0,,0,,1478,38.66073764059639
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Bajo peso,0,0,0,0,0,0,547,Hombre,0,,0,,0,,0,,0,,0,,16,2.9250457038391224
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Normal,0,0,0,0,0,0,547,Hombre,0,,0,,0,,0,,0,,0,,190,34.73491773308958
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Obesidad,0,0,0,0,0,0,547,Hombre,0,,0,,0,,0,,0,,0,,140,25.59414990859232
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,Sobrepeso,0,0,0,0,0,0,547,Hombre,0,,0,,0,,0,,0,,0,,201,36.74588665447898
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Bajo peso,0,0,0,0,0,0,321,Hombre,0,,0,,0,,0,,0,,0,,15,4.672897196261682
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Normal,0,0,0,0,0,0,321,Hombre,0,,0,,0,,0,,0,,0,,120,37.38317757009346
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Obesidad,0,0,0,0,0,0,321,Hombre,0,,0,,0,,0,,0,,0,,77,23.98753894080997
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,Sobrepeso,0,0,0,0,0,0,321,Hombre,0,,0,,0,,0,,0,,0,,109,33.95638629283489
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Bajo peso,0,0,0,0,0,0,817,Hombre,0,,0,,0,,0,,0,,0,,25,3.0599755201958385
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Normal,0,0,0,0,0,0,817,Hombre,0,,0,,0,,0,,0,,0,,312,38.188494492044065
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Obesidad,0,0,0,0,0,0,817,Hombre,0,,0,,0,,0,,0,,0,,212,25.948592411260712
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,Sobrepeso,0,0,0,0,0,0,817,Hombre,0,,0,,0,,0,,0,,0,,268,32.80293757649939
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Bajo peso,0,0,0,0,0,0,618,Hombre,0,,0,,0,,0,,0,,0,,13,2.103559870550162
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Normal,0,0,0,0,0,0,618,Hombre,0,,0,,0,,0,,0,,0,,141,22.815533980582526
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Obesidad,0,0,0,0,0,0,618,Hombre,0,,0,,0,,0,,0,,0,,253,40.93851132686084
2023,comuna,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,Sobrepeso,0,0,0,0,0,0,618,Hombre,0,,0,,0,,0,,0,,0,,211,34.14239482200647
