Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_denominador,25_34_denominador,35_44_denominador,45_54_denominador,55_64_denominador,65_mas_denominador,total_15_mas_denominador,15_24_cobertura_pct,25_34_cobertura_pct,35_44_cobertura_pct,45_54_cobertura_pct,55_64_cobertura_pct,65_mas_cobertura_pct,total_15_mas_cobertura_pct
2025,establecimiento,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,110366,Centro de Salud Familiar Juan Pablo II ( Padre Hurtado),Centro de Salud Familiar (CESFAM),Municipal,1404.0,2118.0,2381.0,1939.0,1849.0,3551.0,13242.0,8064.0,9314.0,8363.0,6926.0,6709.0,7221.0,46597.0,17.410714285714285,22.739961348507624,28.470644505560205,27.995957262489174,27.559994037859592,49.17601440243733,28.418138506770823
2025,establecimiento,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,110308,Centro de Salud Familiar Peñaflor,Centro de Salud Familiar (CESFAM),Municipal,434.0,1005.0,1204.0,1460.0,1621.0,2799.0,8523.0,5931.0,6455.0,5178.0,5179.0,5074.0,6199.0,34016.0,7.317484403979092,15.569326103795508,23.252220934723834,28.190770418999804,31.94718171068191,45.15244394257138,25.05585606773283
2025,establecimiento,10,Servicio de Salud Metropolitano Occidente,13605,Peñaflor,110369,Centro de Salud Familiar Dr. Fernando Monckeberg,Centro de Salud Familiar (CESFAM),Municipal,441.0,1052.0,1112.0,1190.0,1359.0,2703.0,7857.0,6207.0,6815.0,5852.0,5480.0,5124.0,5447.0,34925.0,7.104881585306912,15.436537050623626,19.00205058099795,21.715328467153284,26.52224824355972,49.623646043693775,22.496778811739443
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111300,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Centro de Salud Familiar (CESFAM),Servicio de Salud,633.0,2136.0,2243.0,1888.0,2190.0,2910.0,12000.0,6679.0,10984.0,11508.0,7529.0,6253.0,7313.0,50266.0,9.477466686629734,19.446467589220685,19.490789016336464,25.076371364058975,35.02318886934271,39.79215096403665,23.872995663072455
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111301,Centro de Salud Familiar Nº 5,Centro de Salud Familiar (CESFAM),Servicio de Salud,60.0,184.0,186.0,154.0,150.0,991.0,1725.0,3618.0,4187.0,4432.0,3571.0,3051.0,4204.0,23063.0,1.658374792703151,4.3945545736804394,4.196750902527076,4.312517502100252,4.916420845624385,23.57278782112274,7.4795126392923725
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111370,Centro de Salud Familiar Padre Orellana,Centro de Salud Familiar (CESFAM),Municipal,876.0,1272.0,1338.0,1100.0,1163.0,3207.0,8956.0,5052.0,8395.0,8418.0,5302.0,5012.0,7414.0,39593.0,17.339667458432302,15.151876116736151,15.894511760513186,20.74688796680498,23.204309656823625,43.25600215807931,22.62016012931579
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111372,Centro de Salud Familiar Arauco,Centro de Salud Familiar (CESFAM),Municipal,668.0,673.0,684.0,546.0,538.0,1760.0,4869.0,2781.0,3593.0,3406.0,2525.0,2460.0,3417.0,18182.0,24.020136641495863,18.730865571945447,20.08220786846741,21.623762376237625,21.86991869918699,51.507170032191986,26.77923220767792
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111376,Centro de Salud Familiar Matta Sur,Centro de Salud Familiar (CESFAM),Municipal,972.0,1148.0,1042.0,804.0,834.0,2602.0,7402.0,4504.0,6422.0,5792.0,3937.0,3696.0,5102.0,29453.0,21.58081705150977,17.876051074431643,17.99033149171271,20.421640843281686,22.564935064935064,50.99960799686397,25.13156554510576
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13101,Santiago,111381,Centro de Salud Familiar Ignacio Domeyko,Centro de Salud Familiar (CESFAM),Municipal,1534.0,1527.0,1722.0,1394.0,1073.0,4087.0,11337.0,10083.0,13992.0,14565.0,10905.0,8332.0,10047.0,67924.0,15.213726073589209,10.913379073756433,11.822863027806385,12.783127005960568,12.878060489678347,40.67880959490395,16.690713149991165
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,111305,Centro de Salud Familiar Dr. Norman Voulliéme,Centro de Salud Familiar (CESFAM),Servicio de Salud,458.0,617.0,835.0,1081.0,1871.0,2521.0,7383.0,3972.0,4610.0,4071.0,3444.0,3456.0,4514.0,24067.0,11.530715005035248,13.383947939262471,20.51093097519037,31.38792102206736,54.137731481481474,55.84847142224192,30.676860431295967
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,111307,Centro de Salud Familiar Enfermera Sofía Pincheira,Centro de Salud Familiar (CESFAM),Servicio de Salud,258.0,485.0,535.0,679.0,1054.0,1737.0,4748.0,3400.0,3424.0,2807.0,2732.0,2970.0,4451.0,19784.0,7.588235294117647,14.164719626168223,19.05949412183826,24.85358711566618,35.48821548821549,39.024938216131204,23.99919126566923
2025,establecimiento,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,200346,Centro Comunitario de Salud Familiar Buzeta,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,57.0,128.0,129.0,113.0,228.0,177.0,832.0,102.0,155.0,164.0,101.0,117.0,164.0,803.0,55.88235294117647,82.58064516129032,78.65853658536585,111.88118811881189,194.87179487179486,107.92682926829269,103.61145703611456
