Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_denominador,25_34_denominador,35_44_denominador,45_54_denominador,55_64_denominador,65_mas_denominador,total_15_mas_denominador,15_24_cobertura_pct,25_34_cobertura_pct,35_44_cobertura_pct,45_54_cobertura_pct,55_64_cobertura_pct,65_mas_cobertura_pct,total_15_mas_cobertura_pct
2025,comuna,12,Servicio de Salud Metropolitano Oriente,13122,Peñalolén,2670,5089,5122,6613,7792,14984,42270,29162,35779,29882,28856,25902,29768,179349,9.155750634387216,14.223427150004191,17.140753630948396,22.91724424729692,30.082619102771986,50.335931201289974,23.568573005703964
2025,comuna,12,Servicio de Salud Metropolitano Oriente,13123,Providencia,871,1666,1721,1890,2487,7798,16433,5997,10473,11341,9507,9738,18469,65525,14.523928630982159,15.907571851427479,15.175028657084914,19.88008835594825,25.539125077017864,42.22210190048189,25.07897748950782
2025,comuna,12,Servicio de Salud Metropolitano Oriente,13132,Vitacura,186,517,642,1179,1490,2896,6910,1440,1840,2256,3387,3924,5410,18257,12.916666666666668,28.097826086956523,28.45744680851064,34.80956598759965,37.97145769622834,53.530499075785585,37.848496467108504
2025,comuna,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,2979,6094,5959,5540,6591,12756,39919,26056,30724,26773,21502,21313,24568,150936,11.43306723979122,19.834656945710194,22.257498225824524,25.765045112082596,30.924787688265376,51.92119830674048,26.44763343403827
2025,comuna,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,1025,2669,2719,2336,2856,6571,18176,9385,12612,11277,8569,8626,12991,63460,10.921683537559936,21.162385030130036,24.11102243504478,27.261057299568208,33.109204729886386,50.581171580324835,28.64166404034037
2025,comuna,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,996,2339,2421,2514,3965,5673,17908,13060,17080,14441,11068,12836,14375,82860,7.626339969372128,13.694379391100703,16.76476698289592,22.714130827611132,30.889685260205674,39.46434782608696,21.612358194545013
2025,comuna,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,2560,3597,3693,3543,5140,9515,28048,13933,18551,16539,13159,15134,18599,95915,18.373645302519197,19.38979030780012,22.32904044984582,26.92453833877954,33.963261530329056,51.15866444432496,29.242558515352137
2025,comuna,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,1347,3160,3110,2969,3697,7662,21945,11968,16477,14332,11592,12540,15925,82834,11.255013368983956,19.17824846756084,21.69969299469718,25.61249137336094,29.481658692185007,48.11302982731554,26.492744525194965
2025,comuna,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,1208,3414,3482,3068,4368,9014,24554,11332,17938,16462,11563,11923,16847,86065,10.660077656194847,19.03222209833872,21.151743409063297,26.53290668511632,36.63507506500042,53.505075087552676,28.529599721140997
2025,comuna,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,3174,7134,6879,6849,7539,14617,46192,37453,41663,36002,31230,29972,32485,208805,8.474621525645476,17.123106833401337,19.10727181823232,21.930835734870318,25.1534765781396,44.99615207018624,22.122075620794522
2025,comuna,13,Servicio de Salud Metropolitano Sur,13402,Buin,1430,3293,3497,2938,2971,5628,19757,13653,16059,15223,12169,11234,11771,80109,10.47388852266901,20.5056354692073,22.971818958155424,24.143314980688636,26.446501691294284,47.812420355110014,24.6626471432673
2025,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,225,560,647,847,1072,1376,4727,2698,3097,2799,2491,2523,2812,16420,8.339510748702743,18.08201485308363,23.115398356555914,34.00240867121638,42.489100277447484,48.933143669985775,28.78806333739342
2025,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,1047,2507,2826,2950,3377,4761,17468,10407,11738,10954,9163,8781,9404,60447,10.060536177572788,21.357982620548647,25.79879496074493,32.19469606024228,38.458034392438215,50.62739259889408,28.898042913626814
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,3796,8382,7425,7108,8980,24554,60245,45244,57362,50677,41935,42500,61934,299652,8.390062770754133,14.612461211254837,14.65161710440634,16.950041731250746,21.129411764705882,39.645429005069914,20.104988453272462
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,1424,2726,2771,2896,4241,8280,22338,19854,23857,21807,17507,17860,20470,121355,7.172358214969275,11.42641572704028,12.706928967762646,16.541954646712746,23.745800671892496,40.44943820224719,18.4071525689094
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,2637,3349,3309,3597,4364,9845,27101,25004,26902,23332,19817,18222,20984,134261,10.546312589985602,12.44888855847149,14.182238985084862,18.15108240399657,23.94907254966524,46.916698436904305,20.18531070079919
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,1603,2637,2405,2951,3367,5901,18864,11460,13250,10988,10920,10800,12995,70413,13.987783595113438,19.90188679245283,21.887513651255915,27.023809523809522,31.175925925925924,45.40977298961139,26.79050743470666
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,3227,6077,6109,5827,7698,14423,43361,62827,69917,57315,50441,58361,58503,357364,5.136326738504146,8.691734485175278,10.658640844456075,11.552110386392023,13.19031545038639,24.65343657590209,12.133566895378383
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13202,Pirque,265,550,606,746,994,2045,5206,3319,3822,3480,3308,3427,3840,21196,7.984332630310334,14.390371533228677,17.413793103448274,22.551390568319228,29.004960606944852,53.255208333333336,24.56123796942819
2025,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13203,San José de Maipo,29,52,39,36,40,113,309,358,379,361,329,379,358,2164,8.100558659217876,13.720316622691293,10.80332409972299,10.94224924012158,10.554089709762533,31.564245810055862,14.279112754158966
