Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,profesional,total_ambos_sexos,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2025,13,10,13128,110362,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,3714,1570,2144,114,120,120,123,136,185,237,269,210,360,1840,57,54,62,55,76,75,110,109,101,171,813,700,57,66,58,68,60,110,127,160,109,189,947,1140,0.0,0.0
2025,13,10,13128,110362,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Primario,Vigente en Operación Habitual,True,False,Matrona/on,298,66,232,245,14,7,7,9,10,4,1,1,0,0,66,0,0,0,0,0,0,0,0,0,0,0,179,14,7,7,9,10,4,1,1,0,53,0,0.0,0.0
2025,13,10,13128,110362,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Primario,Vigente en Operación Habitual,True,False,Medico/a,511,198,313,0,6,10,23,20,42,67,76,61,122,84,0,4,5,7,9,13,22,36,22,51,169,29,0,2,5,16,11,29,45,40,39,71,258,55,0.0,0.0
2025,13,10,13128,110362,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Primario,Vigente en Operación Habitual,True,False,Nutricionista,452,133,319,0,35,30,46,41,61,50,67,55,67,0,0,6,7,9,9,23,23,17,14,25,133,0,0,29,23,37,32,38,27,50,41,42,319,0,0.0,0.0
2025,13,10,13128,110362,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Hernán Urzúa Merino,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,909,327,582,1,123,109,122,99,109,117,94,68,67,0,0,43,28,40,25,46,41,39,34,31,327,0,1,80,81,82,74,63,76,55,34,36,581,0,0.0,0.0
2025,13,10,13128,110364,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,1174,503,671,4,2,1,5,5,5,15,15,27,30,1065,2,1,1,1,3,2,7,6,10,15,46,455,2,1,0,4,2,3,8,9,17,15,59,610,0.0,0.0
2025,13,10,13128,110364,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Primario,Vigente en Operación Habitual,True,False,Matrona/on,249,71,178,233,0,0,0,0,0,5,8,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,5,8,3,0,16,0,0.0,0.0
2025,13,10,13128,110364,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Primario,Vigente en Operación Habitual,True,False,Medico/a,190,76,114,0,1,1,4,4,8,21,40,59,51,1,0,0,0,2,2,3,8,13,27,21,76,0,0,1,1,2,2,5,13,27,32,30,113,1,0.0,0.0
2025,13,10,13128,110364,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Primario,Vigente en Operación Habitual,True,False,Nutricionista,23,7,16,20,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,1,1,0,2,0,0.0,0.0
2025,13,10,13128,110364,,10,Servicio de Salud Metropolitano Occidente,Municipal,13128,Renca,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huamachuco,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,2014,754,1260,2,263,247,280,250,213,202,234,172,151,0,1,99,84,105,90,77,74,94,67,63,753,0,1,164,163,175,160,136,128,140,105,88,1259,0,0.0,0.0
