Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,total_15_mas,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2024,13,14,13131,114314,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13131,San Ramón,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón),Primario,Vigente en Operación Habitual,True,False,3610,1209,2401,31,275,306,347,282,232,218,235,194,190,1300,3,74,88,107,88,81,72,94,70,79,753,453,28,201,218,240,194,151,146,141,124,111,1526,847,0.0,0.0
2024,13,14,13131,114328,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13131,San Ramón,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Poetisa Gabriela Mistral,Primario,Vigente en Operación Habitual,True,False,5130,1778,3352,52,510,434,430,343,314,356,359,268,187,1877,12,107,90,133,92,123,140,154,116,82,1037,729,40,403,344,297,251,191,216,205,152,105,2164,1148,0.0,0.0
2024,13,14,13131,114714,114314,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13131,San Ramón,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Modelo,Primario,Vigente en Operación Habitual,True,False,1231,354,877,9,59,76,62,62,65,61,63,82,65,627,2,12,11,8,16,10,13,8,14,17,109,243,7,47,65,54,46,55,48,55,68,48,486,384,0.0,0.0
2024,13,14,13201,114010,,14,Servicio de Salud Metropolitano Sur Oriente,Servicio de Salud,13201,Puente Alto,Otro,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Sur Oriente),No Aplica,Vigente en Operación Habitual,False,False,1289,345,944,27,245,324,218,136,121,54,78,46,30,10,9,61,87,59,41,33,12,16,13,10,332,4,18,184,237,159,95,88,42,62,33,20,920,6,0.0,0.0
2024,13,14,13201,114301,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Alejandro del Río,Primario,Vigente en Operación Habitual,True,False,8787,2565,6222,3,690,713,713,618,509,447,480,479,408,3727,0,153,159,151,142,142,140,147,146,146,1326,1239,3,537,554,562,476,367,307,333,333,262,3731,2488,0.0,0.0
2024,13,14,13201,114312,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Gerónimo,Primario,Vigente en Operación Habitual,True,False,2988,782,2206,15,228,206,198,174,151,107,105,76,77,1651,4,33,28,32,38,23,15,17,15,11,212,566,11,195,178,166,136,128,92,88,61,66,1110,1085,0.0,0.0
2024,13,14,13201,114313,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Vista Hermosa,Primario,Vigente en Operación Habitual,True,False,1717,601,1116,4,117,119,144,155,158,151,123,113,61,572,2,42,27,41,41,56,60,43,46,18,374,225,2,75,92,103,114,102,91,80,67,43,767,347,0.0,0.0
2024,13,14,13201,114320,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Bernardo Leighton,Primario,Vigente en Operación Habitual,True,False,5464,2020,3444,4,570,459,449,400,357,272,250,255,238,2210,1,170,156,165,148,130,98,111,117,104,1199,820,3,400,303,284,252,227,174,139,138,134,2051,1390,0.0,0.0
2024,13,14,13201,114321,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cardenal Silva Henríquez,Primario,Vigente en Operación Habitual,True,False,1542,565,977,25,109,129,100,110,81,72,87,79,78,672,6,36,34,32,31,24,26,33,34,30,280,279,19,73,95,68,79,57,46,54,45,48,565,393,0.0,0.0
2024,13,14,13201,114322,,14,Servicio de Salud Metropolitano Sur Oriente,Municipal,13201,Puente Alto,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Padre Manuel Villaseca,Primario,Vigente en Operación Habitual,True,False,8155,2570,5585,24,602,622,620,618,497,382,383,405,421,3581,8,157,154,188,165,139,112,109,124,143,1291,1271,16,445,468,432,453,358,270,274,281,278,3259,2310,0.0,0.0
