Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,20_64_hombres,20_64_mujeres,65_mas_hombres,65_mas_mujeres,fuente_numerador_iaaps,20_64_total,65_mas_total
2025,13,9,13125,200304,109313,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Beato Padre Hurtado,Primario,Vigente en Operación Habitual,True,False,192,391,72,120,REM A02 Seccion A,583,192
2025,13,9,13125,201091,,09,Servicio de Salud Metropolitano Norte,Municipal,13125,Quilicura,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Marta Ugarte Román,Primario,Vigente en Operación Habitual,True,False,1484,3508,1136,1862,REM A02 Seccion A,4992,2998
2025,13,9,13127,109301,,09,Servicio de Salud Metropolitano Norte,Municipal,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Primario,Vigente en Operación Habitual,True,False,1477,2980,711,1389,REM A02 Seccion A,4457,2100
2025,13,9,13127,109303,,09,Servicio de Salud Metropolitano Norte,Municipal,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Primario,Vigente en Operación Habitual,True,False,1587,2125,823,1346,REM A02 Seccion A,3712,2169
2025,13,9,13127,109304,,09,Servicio de Salud Metropolitano Norte,Municipal,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Primario,Vigente en Operación Habitual,True,False,364,776,269,482,REM A02 Seccion A,1140,751
2025,13,9,13127,109307,,09,Servicio de Salud Metropolitano Norte,Municipal,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Primario,Vigente en Operación Habitual,True,False,1114,1959,589,957,REM A02 Seccion A,3073,1546
2025,13,9,13127,109390,,09,Servicio de Salud Metropolitano Norte,Otra Institución,13127,Recoleta,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Primario,Vigente en Operación Habitual,True,False,878,1502,812,1408,REM A02 Seccion A,2380,2220
2025,13,9,13301,109310,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Primario,Vigente en Operación Habitual,True,False,2406,4212,788,1215,REM A02 Seccion A,6618,2003
2025,13,9,13301,109316,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Esmeralda,Primario,Vigente en Operación Habitual,True,False,1937,3045,716,1060,REM A02 Seccion A,4982,1776
2025,13,9,13301,109416,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Posta de Salud Rural (PSR),Posta de Salud Rural Colorado,Primario,Vigente en Operación Habitual,True,False,52,184,36,46,REM A02 Seccion A,236,82
2025,13,9,13301,109417,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Posta de Salud Rural (PSR),Posta de Salud Rural Los Ingleses,Primario,Vigente en Operación Habitual,True,False,97,173,60,74,REM A02 Seccion A,270,134
2025,13,9,13301,109418,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Posta de Salud Rural (PSR),Posta de Salud Rural Las Canteras,Primario,Vigente en Operación Habitual,True,False,46,125,28,54,REM A02 Seccion A,171,82
2025,13,9,13301,109419,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Primario,Vigente en Operación Habitual,True,False,60,130,59,61,REM A02 Seccion A,190,120
2025,13,9,13301,109420,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Primario,Vigente en Operación Habitual,True,False,5,46,36,39,REM A02 Seccion A,51,75
2025,13,9,13301,109716,109316,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Esmeralda,Primario,Vigente en Operación Habitual,True,False,18,128,27,47,REM A02 Seccion A,146,74
2025,13,9,13301,201462,,09,Servicio de Salud Metropolitano Norte,Municipal,13301,Colina,Centro de Salud Familiar (CESFAM),CESFAM La Reina de Colina,Primario,Vigente en Operación Habitual,True,False,454,1142,264,477,REM A02 Seccion A,1596,741
2025,13,9,13302,109311,,09,Servicio de Salud Metropolitano Norte,Municipal,13302,Lampa,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Bauza Frau,Primario,Vigente en Operación Habitual,True,False,2477,3903,860,1134,REM A02 Seccion A,6380,1994
2025,13,9,13302,109312,,09,Servicio de Salud Metropolitano Norte,Municipal,13302,Lampa,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Batuco,Primario,Vigente en Operación Habitual,True,False,646,1244,421,587,REM A02 Seccion A,1890,1008
2025,13,9,13302,109711,109311,09,Servicio de Salud Metropolitano Norte,Municipal,13302,Lampa,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Sol de Septiembre,Primario,Vigente en Operación Habitual,True,False,245,543,129,180,REM A02 Seccion A,788,309
2025,13,9,13302,109712,109312,09,Servicio de Salud Metropolitano Norte,Municipal,13302,Lampa,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Primario,Vigente en Operación Habitual,True,False,391,615,140,198,REM A02 Seccion A,1006,338
2025,13,9,13302,201212,,09,Servicio de Salud Metropolitano Norte,Municipal,13302,Lampa,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Pablo II de Lampa,Primario,Vigente en Operación Habitual,True,False,574,837,313,341,REM A02 Seccion A,1411,654
2025,13,9,13303,109104,,09,Servicio de Salud Metropolitano Norte,Servicio de Salud,13303,Tiltil,Hospital,Hospital de Til Til,,Vigente en Operación Habitual,False,False,329,567,253,356,REM A02 Seccion A,896,609
2025,13,9,13303,109320,,09,Servicio de Salud Metropolitano Norte,Municipal,13303,Tiltil,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huertos Familiares,Primario,Vigente en Operación Habitual,True,False,193,337,175,222,REM A02 Seccion A,530,397
2025,13,9,13303,109410,,09,Servicio de Salud Metropolitano Norte,Municipal,13303,Tiltil,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Primario,Vigente en Operación Habitual,True,False,14,35,26,30,REM A02 Seccion A,49,56
2025,13,9,13303,109412,,09,Servicio de Salud Metropolitano Norte,Municipal,13303,Tiltil,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Primario,Vigente en Operación Habitual,True,False,15,20,27,35,REM A02 Seccion A,35,62
2025,13,9,13303,109413,,09,Servicio de Salud Metropolitano Norte,Municipal,13303,Tiltil,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Primario,Vigente en Operación Habitual,True,False,24,15,30,32,REM A02 Seccion A,39,62
2025,13,9,13303,109414,,09,Servicio de Salud Metropolitano Norte,Municipal,13303,Tiltil,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Primario,Vigente en Operación Habitual,True,False,89,38,23,29,REM A02 Seccion A,127,52
2025,13,10,13101,110010,,10,Servicio de Salud Metropolitano Occidente,Servicio de Salud,13101,Santiago,Otro,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S Metropolitano Occidente),No Aplica,Vigente en Operación Habitual,False,False,0,3,0,1,REM A02 Seccion A,3,1
2025,13,10,13101,110030,,10,Servicio de Salud Metropolitano Occidente,Servicio de Salud,13101,Santiago,Otro,Unidad de Salud Funcionario  S.S Metropolitano Occidente,Secundario,Vigente en Operación Habitual,False,False,34,117,0,3,REM A02 Seccion A,151,3
2025,13,10,13103,110330,,10,Servicio de Salud Metropolitano Occidente,Municipal,13103,Cerro Navia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Adalberto Steeger,Primario,Vigente en Operación Habitual,True,False,1550,2715,835,1350,REM A02 Seccion A,4265,2185
2025,13,10,13103,110331,,10,Servicio de Salud Metropolitano Occidente,Municipal,13103,Cerro Navia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lo Amor,Primario,Vigente en Operación Habitual,True,False,882,1795,517,786,REM A02 Seccion A,2677,1303
2025,13,10,13103,110335,,10,Servicio de Salud Metropolitano Occidente,Municipal,13103,Cerro Navia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cerro Navia,Primario,Vigente en Operación Habitual,True,False,930,1849,580,1091,REM A02 Seccion A,2779,1671
2025,13,10,13103,110355,,10,Servicio de Salud Metropolitano Occidente,Municipal,13103,Cerro Navia,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Arturo Albertz,Primario,Vigente en Operación Habitual,True,False,1519,2574,737,1315,REM A02 Seccion A,4093,2052
2025,13,10,13103,110735,110335,10,Servicio de Salud Metropolitano Occidente,Municipal,13103,Cerro Navia,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Lagos (Unidad Vecinal Nº 33),Primario,Vigente en Operación Habitual,True,False,114,350,107,172,REM A02 Seccion A,464,279
